"bg_cue","bg_target","type","cue_type","target_type","bg_cosine"
"нелепо","абсурд","related","word","word",0.489088227855622
"влак","автобус","related","word","word",0.754185076940348
"твърд","агенция","related","word","word",0.125302876531718
"управление","административен","related","word","word",0.305579516460472
"хормон","адреналин","related","word","word",0.487318373102677
"номер","адрес","related","word","word",0.469416182609309
"жест","акт","related","word","word",0.415464243178161
"спусъка","активирате","related","word","word",0.320912878771058
"глас","акцент","related","word","word",0.437158635984855
"тревога","аларма","related","word","word",0.408242975015686
"ъгъл","алея","related","word","word",0.267060462396017
"мотив","алиби","related","word","word",0.477571581351607
"браво","алфа","related","word","word",0.450219879160502
"африка","америка","related","word","word",0.517037387514438
"аутопсия","анализ","related","word","word",0.391531890861293
"къща","апартамент","related","word","word",0.577859416362422
"наказвам","арест","related","word","word",0.260562506189539
"легион","армия","related","word","word",0.528260861331337
"невежество","арогантност","related","word","word",0.545691496563705
"вена","артерия","related","word","word",0.740351354138806
"кавалерия","артилерия","related","word","word",0.613801505775126
"инженер","архитект","related","word","word",0.608411068632582
"инвазия","атака","related","word","word",0.501225757231978
"тихоокеански","атлантическия океан","related","word","word",NA
"заобикаляща среда","атмосфера","related","word","word",NA
"дядо","баба","related","word","word",0.750126352914739
"оркестъра","банда","related","word","word",0.303008931180541
"душ","баня","related","word","word",0.616822024910469
"клуб","бар","related","word","word",0.64692986525894
"полк","батальон","related","word","word",0.637401901250134
"супермен","батман","related","word","word",0.596329264983353
"майка","баща","related","word","word",0.783435896781609
"бежанец","беглец","related","word","word",0.404596652446639
"сигурност","безопасност","related","word","word",0.596956249472276
"неразумно","безотговорен","related","word","word",0.474161340467486
"свободно","безплатно","related","word","word",0.357404853964712
"прекъсване","безпокойство","related","word","word",0.398161523648376
"безпомощен","безсилен","related","word","word",0.59920301803104
"безполезен","безсмислено","related","word","word",0.357185193485149
"стадион","бейзбол","related","word","word",0.48403261249018
"тост","бекон","related","word","word",0.346258677541057
"татуировка","белег","related","word","word",0.550886679426107
"диамант","бижу","related","word","word",0.57258857738979
"индустрия","бизнес","related","word","word",0.343340249398164
"химически","биологичен","related","word","word",0.534017830381097
"химия","биология","related","word","word",0.663484883908769
"пиене","бира","related","word","word",0.559201366145546
"битка","битка","related","word","word",1
"война","битка","related","word","word",0.645561321764759
"благодарен","благодарение","related","word","word",0.53106509722495
"гостоприемство","благодарност","related","word","word",0.416423266132808
"отворен","близо","related","word","word",0.171612293412008
"беден","богат","related","word","word",0.609281780435368
"съкровище","богатство","related","word","word",0.507979739390849
"бог","божествено","related","word","word",0.400503381712536
"арена","бойно поле","related","word","word",NA
"боклук","боклук","related","word","word",1
"аз ще","болен","related","word","word",NA
"грип","болест","related","word","word",0.55631004100904
"страдания","болки","related","word","word",0.502972851052642
"вашингтон","бостън","related","word","word",0.543414267468317
"косъм","брада","related","word","word",0.259839489824891
"развод","брак","related","word","word",0.522638206312302
"пич","брат","related","word","word",0.245917539092632
"сестра","брат","related","word","word",0.610819972705407
"относително","братовчед","related","word","word",0.119429482742348
"зърно","брашно","related","word","word",0.509021319637232
"плаж","брега","related","word","word",0.543115485052027
"раждане","бременност","related","word","word",0.4105418328109
"щит","броня","related","word","word",0.396662741889421
"надраскване","бруаз","related","word","word",NA
"устна","бузалка","related","word","word",NA
"младоженец","булка","related","word","word",0.696602828871563
"вятър","буря","related","word","word",0.493903328198402
"стъкло","бутилка","related","word","word",0.267226722177571
"бавен","бърз","related","word","word",0.624007883915329
"бавно","бързо","related","word","word",0.599101897032237
"бягая","бягство","related","word","word",NA
"накрая","в крайна сметка","related","word","word",NA
"естествено","в общи линии","related","word","word",NA
"противоположно","в противен случай","related","word","word",NA
"ценна","важно","related","word","word",0.407330514983539
"антидот","ваксина","related","word","word",0.589908286493739
"зомби","вампир","related","word","word",0.542449345201729
"ремарке","ван","related","word","word",0.0918851792446596
"канела","ванилия","related","word","word",0.615103944174971
"избор","вариант","related","word","word",0.419983729438863
"в гърлото","вдлъбнатина","related","word","word",NA
"вдъхновим","вдъхновение","related","word","word",0.549696582125246
"марс","венера","related","word","word",0.637762332273667
"клапан","вентилация","related","word","word",0.429509736333751
"лоялен","верен","related","word","word",0.64336741058037
"вероятност","вероятно","related","word","word",0.469858464940809
"може би","вероятно","related","word","word",NA
"статия","вестник","related","word","word",0.523990983158438
"нощ","вечерта","related","word","word",0.433329651428792
"проклятие","вещица","related","word","word",0.403489651537471
"избухвам","взривяване","related","word","word",0.275520356191878
"dvd","видео","related","word","word",0.443992432613006
"откровение","визия","related","word","word",0.21959580725617
"лъжица","вилица","related","word","word",0.597085060102378
"невинни","вина","related","word","word",0.292650188312162
"нисък","високо","related","word","word",0.402626759428094
"величество","височество","related","word","word",0.719114505125522
"тегло","височина","related","word","word",0.483500373115869
"протеин","витамин","related","word","word",0.625851443198942
"юрисдикция","власт","related","word","word",0.350533980833307
