"fr_cue","fr_target","fr_fake_target","fr_fake_cue","en_cue","en_target"
"à l'aise","agréable","agrésale","uwl'aise","comfortable","pleasant"
"à l'extérieur","à l'intérieur","mañaintérieur","karlextérieur","outside","inside"
"à la mode","élégant","élésade","ozya mode","fashionable","elegant"
"à présent","connaître","connectre","à prseins","now","know"
"abeille","fourmi","maximi","abimlle","bee","ant"
"accidentellement","intentionnellement","intendressesnellement","accidentelletriques","accidentally","intentionally"
"accueil","fête","tste","acnuait","reception","party"
"acheter","vendre","gondre","chouter","buy","sell"
"actif","activité","activitémoignent","accla","active","activity"
"admettre","avouer","guouer","admètres","admit","confess"
"administration","gouvernement","gouverneville","administraçables","administration","government"
"admirer","apprécier","apprésent","adminute","admire","appreciate"
"adn","empreinte digitale","empreinte digprends ","éan","dna","fingerprint"
"adolescent","adolescent","adolesmiez","adolesnois","teenage","teenager"
"adulte","parent","pacott","adjate","adult","parent"
"afficher","performance","perforboule","affinite","show","performance"
"afrique","amérique","viorique","afisque","africa","america"
"agent","détective","détecrant","uvent","agent","detective"
"agréable","beau","beol","aggrable","nice","lovely"
"aider","aider","aiman","aiman","help","assist"
"aiguille","seringue","segrange","aivaillé","needle","syringe"
"ail","oignon","oidien","oul","garlic","onion"
"ailleurs","quelque part","quelquephite","ailleupé","elsewhere","somewhere"
"air","oxygène","folgène","xer","air","oxygen"
"album","chanson","ckerson","alpec","album","song"
"alerte","alarme","viarme","ncerte","alert","alarm"
"alimentation","manger","fliger","alimentachées","feed","eat"
"aliments","repas","retue","borments","food","meal"
"amateur","professionnel","profestantsnel","narteur","amateur","professional"
"ambassade","ministère","minisrent","ambasdors","embassy","ministry"
"ambassadeur","ministre","mibattre","ambassaluais","ambassador","minister"
"ambulance","hélicoptère","hélicodreau","ambuveuse","ambulance","helicopter"
"âme","esprit","esbite","êpe","soul","spirit"
"analyste","enquêteur","enquêrons","anachote","analyst","investigator"
"anarchie","capitalisme","capitageons","égrachie","anarchy","capitalism"
"anatomie","psychologie","contichologie","troutomie","anatomy","psychology"
"ancre","naviguer","navidocq","aniée","anchor","sail"
"âne","cheval","chebin","nèe","donkey","horse"
"ange","diable","disele","anza","angel","devil"
"anglais","français","frankins","anplane","english","french"
"anniversaire","date d'anniversaire","date d'annivcontent","anniverquets","anniversary","birthday"
"anonyme","inconnu","inquiénu","anodice","anonymous","unknown"
"antidote","vaccin","vacrot","antitans","antidote","vaccine"
"appareil photo","microphone","micronable","appaniques photo","camera","microphone"
"appel","téléphone","télétance","apbas","call","telephone"
"appliquer","utiliser","cherliser","appliland","apply","use"
