fr_cue,fr_target,fr_fake_cue,fr_fake_target,en_cue,en_target
confortable,agréable,connortesse,agueable,comfortable,pleasant
extérieur,intérieur,extesible,intrelock,outside,inside
chic,élégant,chus,életing,fashionable,elegant
maintenant,connaître,jourtenant,connictre,now,know
abeille,fourmi,abdolle,mainmi,bee,ant
accidentellement,intentionnellement,accipontelletriques,inpentionnellenouille,accidentally,intentionally
réception,fête,acnuait,irte,reception,party
acheter,vendre,chomter,gondre,buy,sell
actif,activité,accla,actignureté,active,activity
admettre,avouer,adgramme,guouer,admit,confess
administration,gouvernement,admonistragraphe,gouterneville,administration,government
admirer,apprécier,adminute,apprésent,admire,appreciate
adn,empreinte,lon,emnouille,dna,fingerprint
adolescence,adolescent,adilesnois,edolestère,teenage,teenager
adulte,parent,adjate,pacott,adult,parent
spectacle,performance,specrible,perforniste,show,performance
afrique,amérique,afisque,viorique,africa,america
agent,détective,uvent,détecrant,agent,detective
mignon,beau,mimain,obau,nice,lovely
aider,assister,aital,aséclater,help,assist
aiguille,seringue,aiquable,setrique,needle,syringe
ail,oignon,oul,oidien,garlic,onion
ailleurs,endroit,ailleuve,entrole,elsewhere,somewhere
air,oxygène,xer,folgène,air,oxygen
album,chanson,alpec,ckerson,album,song
alerte,alarme,joerte,viarme,alert,alarm
alimentation,manger,avimentasance,guéger,feed,eat
aliments,repas,borments,retue,food,meal
amateur,professionnel,narteur,profestantsnel,amateur,professional
ambassade,ministère,ambasgrès,minisneur,embassy,ministry
ambassadeur,ministre,ambassapable,mibattre,ambassador,minister
ambulance,hélicoptère,ambuveuse,hélicodreau,ambulance,helicopter
âme,esprit,êpe,esbite,soul,spirit
analyste,enquêteur,anachote,enquêrons,analyst,investigator
anarchie,capitalisme,égrachie,capitageons,anarchy,capitalism
anatomie,psychologie,troutomie,contichologie,anatomy,psychology
ancre,naviguer,aniée,navidocq,anchor,sail
âne,cheval,nèe,chebin,donkey,horse
ange,diable,anza,disele,angel,devil
anglais,français,anplane,frankins,english,french
anniversaire,naissance,anniverrieur,prinsance,anniversary,birthday
anonyme,inconnu,anodice,inquiénu,anonymous,unknown
antidote,vaccin,antitans,vacrot,antidote,vaccine
caméra,microphone,camétien,micronance,camera,microphone
appel,téléphone,apbas,télétance,call,telephone
appliquer,utiliser,appliland,cherliser,apply,use
apporter,envoyer,apchester,enclier,bring,send
apprendre,enseigner,apriennes,enseitale,learn,teach
araignée,insecte,préagnée,indiche,spider,insect
arène,combat,arroe,comsez,arena,battlefield
reculer,retourner,recution,requinner,back,return
arrivée,départ,arridrai,débane,arrival,departure
arriver,venir,arrition,velop,arrive,come
arsenal,armurerie,arseport,arturejours,arsenal,armory
art,littérature,lat,littérageant,art,literature
artéfact,médaillon,artélère,mérailles,artifact,medallion
article,journal,arsable,jourson,article,newspaper
artiste,peintre,arcieux,pelotre,artist,painter
aspirine,morphine,aspileur,mortrise,aspirin,morphine
assez,suffisant,aspar,sufficher,enough,sufficient
astronaute,pilote,astrofense,pireté,astronaut,pilot
atelier,garage,elllier,gapore,workshop,garage
atomique,nucléaire,radmique,nuchiatre,atomic,nuclear
attendre,espérer,atrience,espésion,wait,expect
attention,attirer,attenment,attidote,attention,attract
alerte,message,joerte,bonsage,warning,message
attractif,charmant,attraccher,charrect,attractive,charming
littéralement,pratiquement,liméralegraphe,pratiprenique,literally,practically
audience,procès,auviette,prosée,hearing,trial
augmenter,réduire,époumenter,récière,increase,reduce
aujourd'hui,hier,aujourdnaie,néer,today,yesterday
auteur,acteur,ausion,acsion,author,actor
autopsie,analyse,aubeansie,anapide,autopsy,analysis
autorisation,approbation,aurorisageable,approbarasse,permission,approval
autoriser,laisser,autoritique,lieuser,allow,let
avaler,mâcher,lasler,mâsion,swallow,chew
futur,passé,fugié,bousé,future,past
aveugle,sourd,avoigle,soind,blind,deaf
opinion,avis,rennion,avêt,opinion,attitude
avocat,procureur,mehcat,procubits,lawyer,prosecutor
badge,uniforme,baîte,créforme,badge,uniform
bague,collier,bavae,coltées,ring,necklace
baie,port,acie,poir,bay,harbor
banane,fraise,bapèce,fraint,banana,strawberry
bancaire,financier,banmante,finandale,banking,financial
remorque,fourgonnette,rethèque,achegonnette,trailer,van
banquier,investisseur,bansuite,intestisfaits,banker,investor
baron,comtesse,balei,compette,baron,countess
base,quartier-général,baly,fourgnognureux,base,headquarters
basket-ball,football,bartetleur,choiball,basketball,football
bébé,enfant,béryl,englan,baby,child
bénévole,volontairement,bénévicer,molentairegramme,volunteer,voluntarily
bête,animal,erte,flomal,beast,animal
béton,acier,bérée,sonier,concrete,steel
bible,livre,binie,litse,bible,book
bibliothèque,musée,bobloitaille,nurez,library,museum
bien,mal,bino,bun,good,bad
immobilier,propriétaire,immobitance,propriénique,property,owner
billet,passeport,billir,passerand,ticket,passport
blanc,noir,chanu,mair,white,black
plaie,blessure,fraie,illusure,wound,injury
boisson,bière,boisnal,boide,drink,beer
boîte,sac,boâne,ente,box,bag
bol,assiette,mul,asdiatre,bowl,plate
bombe,explosif,boûte,emplognet,bomb,explosive
