"fr_target","fr_cue","type","target_type","cue_type","fr_cosine"
"agréable","à l'aise","related","word","word",NA
"à l'intérieur","à l'extérieur","related","word","word",NA
"élégant","à la mode","related","word","word",NA
"connaître","à présent","related","word","word",NA
"fourmi","abeille","related","word","word",0.52499457384056
"intentionnellement","accidentellement","related","word","word",0.549733495120296
"fête","accueil","related","word","word",0.189446682656444
"vendre","acheter","related","word","word",0.693497581152787
"activité","actif","related","word","word",0.472190341969602
"avouer","admettre","related","word","word",0.721573151013603
"gouvernement","administration","related","word","word",0.570435843905131
"apprécier","admirer","related","word","word",0.538379415747653
"empreinte digitale","adn","related","word","word",NA
"adolescent","adolescent","related","word","word",1
"parent","adulte","related","word","word",0.431707052211934
"performance","afficher","related","word","word",0.23990348104691
"amérique","afrique","related","word","word",0.683319187682728
"détective","agent","related","word","word",0.440121322154326
"beau","agréable","related","word","word",0.410403932938129
"aider","aider","related","word","word",1
"seringue","aiguille","related","word","word",0.654715045101364
"oignon","ail","related","word","word",0.621424595142479
"quelque part","ailleurs","related","word","word",NA
"oxygène","air","related","word","word",0.312210591352462
"chanson","album","related","word","word",0.487919424795007
"alarme","alerte","related","word","word",0.536876783007217
"manger","alimentation","related","word","word",0.286806255535721
"repas","aliments","related","word","word",0.403040154995977
"professionnel","amateur","related","word","word",0.559772898633295
"ministère","ambassade","related","word","word",0.473172585578407
"ministre","ambassadeur","related","word","word",0.524025774129445
"hélicoptère","ambulance","related","word","word",0.465264942950806
"esprit","âme","related","word","word",0.511812685732389
"enquêteur","analyste","related","word","word",0.483230090571795
"capitalisme","anarchie","related","word","word",0.483808338515398
"psychologie","anatomie","related","word","word",0.451070706652492
"naviguer","ancre","related","word","word",0.372773843662841
"cheval","âne","related","word","word",0.560254710503269
"diable","ange","related","word","word",0.424511401971976
"français","anglais","related","word","word",0.802505330667652
"date d'anniversaire","anniversaire","related","word","word",NA
"inconnu","anonyme","related","word","word",0.390801573868354
"vaccin","antidote","related","word","word",0.630102758914034
"microphone","appareil photo","related","word","word",NA
"téléphone","appel","related","word","word",0.426363212713768
"utiliser","appliquer","related","word","word",0.427240123749121
"envoyer","apporter","related","word","word",0.454526142870587
"enseigner","apprendre","related","word","word",0.660541193482115
"insecte","araignée","related","word","word",0.601109964213656
"champ de bataille","arène","related","word","word",NA
"retourner","arrière","related","word","word",0.258529592005376
"départ","arrivée","related","word","word",0.522630722770019
"viens","arrivée","related","word","word",0.104492640380709
"arsenal","arsenal","related","word","word",1
"littérature","art","related","word","word",0.522336119462196
"médaillon","artefact","related","word","word",0.446765925593906
"un journal","article","related","word","word",NA
"peintre","artiste","related","word","word",0.697449634357502
"morphine","aspirine","related","word","word",0.54306748580508
"suffisant","assez","related","word","word",0.4941286699915
"pilote","astronaute","related","word","word",0.558269339726464
"garage","atelier","related","word","word",0.508148365046125
"nucléaire","atomique","related","word","word",0.607767290398879
"attendre","attendre","related","word","word",1
"attirer","attention","related","word","word",0.549036387298311
"un message","attention","related","word","word",NA
"charmant","attractif","related","word","word",0.349640100230518
"pratiquement","au sens propre","related","word","word",NA
"essai","audience","related","word","word",0.193945962877547
"réduire","augmenter","related","word","word",0.613356788027788
"hier","aujourd'hui","related","word","word",NA
"acteur","auteur","related","word","word",0.494913087788255
"analyse","autopsie","related","word","word",0.5367661625161
"approbation","autorisation","related","word","word",0.580993342366265
"laisser","autoriser","related","word","word",0.443313214715999
"mâcher","avaler","related","word","word",0.532229918607404
"passé","avenir","related","word","word",0.243148674869903
"sourd","aveugle","related","word","word",0.61162560425893
"attitude","avis","related","word","word",0.337386909069959
"procureur","avocat","related","word","word",0.510336518726151
"uniforme","badge","related","word","word",0.553276042258914
"collier","bague","related","word","word",0.644804294928323
"port","baie","related","word","word",0.4647844020252
"fraise","banane","related","word","word",0.594144939708858
"financier","bancaire","related","word","word",0.542111659846124
"van","bande annonce","related","word","word",NA
"investisseur","banquier","related","word","word",0.546480844530766
"comtesse","baron","related","word","word",0.47692226816504
"quartier général","base","related","word","word",NA
"football","basket-ball","related","word","word",NA
"enfant","bébé","related","word","word",0.69084847415864
"volontairement","bénévole","related","word","word",0.264712352755866
"animal","bête","related","word","word",0.475825144133448
"acier","béton","related","word","word",0.575857795993858
"livre","bible","related","word","word",0.513390790915424
"musée","bibliothèque","related","word","word",0.44729995995059
"mal","bien","related","word","word",0.541541126739181
"propriétaire","biens","related","word","word",0.24189866844822
"passeport","billet","related","word","word",0.5299087757118
"le noir","blanche","related","word","word",NA
"blessure","blesser","related","word","word",0.262254269362018
"bière","boisson","related","word","word",0.614123122252383
"sac","boîte","related","word","word",0.358149755103415
"assiette","bol","related","word","word",0.470240683645735
