"vi_cue","vi_target","type","cue_type","target_type","vi_cosine"
"thiên thần","ác quỷ","related","word","word",NA
"hormone","adrenaline","related","word","word",0.499875254100605
"động cơ","alibi","related","word","word",NA
"đĩa bay","alien","related","word","word",NA
"bravo","alpha","related","word","word",0.495604209250693
"jazz","âm nhạc","related","word","word",NA
"tiếng ồn","âm thanh","related","word","word",NA
"cho ăn","ăn","related","word","word",NA
"lánh nạn","ẩn núp","related","word","word",NA
"quan hệ","anh em họ","related","word","word",NA
"bóng tối","ánh sáng","related","word","word",NA
"chị gái","anh trai","related","word","word",NA
"ảo giác","ảo giác","related","word","word",NA
"áo sơ mi","áo khoác","related","word","word",NA
"xung","áp lực","related","word","word",NA
"arsenal","armory","related","word","word",NA
"thái bình dương","atlantic","related","word","word",NA
"một","ba","related","word","word",0.324715837494204
"gấp đôi","ba","related","word","word",NA
"ông nội","bà ngoại","related","word","word",NA
"miền nam","bắc","related","word","word",NA
"vàng","bạc","related","word","word",0.454831227697735
"bác sĩ phẫu thuật","bác sĩ","related","word","word",NA
"phát biểu","bài giảng","related","word","word",NA
"album","bài hát","related","word","word",NA
"hội thảo","bài học","related","word","word",NA
"bản văn","bài thơ","related","word","word",NA
"cào","bầm tím","related","word","word",NA
"mua","bán","related","word","word",0.558090109552087
"bắn","bắn","related","word","word",1
"đồng nghiệp","bạn bè","related","word","word",NA
"la bàn","bản đồ","related","word","word",NA
"dàn nhạc","ban nhạc","related","word","word",NA
"bẩn thỉu","bẩn thỉu","related","word","word",NA
"bằng chứng","bằng chứng","related","word","word",NA
"đĩa dvd","băng hình","related","word","word",NA
"món tráng miệng","bánh","related","word","word",NA
"bánh mì sandwich","bánh hamburger","related","word","word",NA
"bài báo","báo","related","word","word",NA
"gió","bão","related","word","word",0.387702980378136
"không bao giờ","bao giờ","related","word","word",NA
"thư viện","bảo tàng","related","word","word",NA
"báo động","báo thức","related","word","word",NA
"dịch vụ","bảo trì","related","word","word",NA
"thần kinh","bắp thịt","related","word","word",NA
"bắt cóc","bắt cóc","related","word","word",NA
"trừng phạt","bắt giữ","related","word","word",NA
"thật không may","bất hạnh","related","word","word",NA
"bất lực","bất lực","related","word","word",NA
"đột ngột","bất ngờ","related","word","word",NA
"siêu nhân","batman","related","word","word",NA
"trung đoàn","battalion","related","word","word",NA
"nội bộ","bên ngoài","related","word","word",NA
"tôi sẽ","bệnh","related","word","word",NA
"tai họa","bệnh dịch","related","word","word",NA
"lò vi sóng","bếp","related","word","word",NA
"bí mật","bí ẩn","related","word","word",NA
"hãnh diện","bị kích thích","related","word","word",NA
"kính trọng","bí mật","related","word","word",NA
"phạt","bị phạt tù","related","word","word",NA
"buồn","bi thảm","related","word","word",NA
"uống","bia","related","word","word",0.33098297851183
"hiện tượng","biến cố","related","word","word",NA
"tử vong","biến mất","related","word","word",NA
"hiện nay","biết","related","word","word",NA
"nhìn nhận","biết","related","word","word",NA
"điểm","biểu thị","related","word","word",NA
"lá cờ","biểu tượng","related","word","word",NA
"hoàng hôn","bình minh","related","word","word",NA
"chú","bố","related","word","word",0.48627382510375
"chồng yêu","bơ","related","word","word",NA
"đại sứ quán","bộ","related","word","word",NA
"bờ biển","bờ biển","related","word","word",NA
"số đông","bỏ phiếu","related","word","word",NA
"khiêu dâm","bộ phim","related","word","word",NA
"rời bỏ","bỏ rơi","related","word","word",NA
"đại sứ","bộ trưởng, mục sư","related","word","word",NA
"chết chìm","bơi","related","word","word",NA
"hai","bốn","related","word","word",0.58128260523718
"phòng vệ sinh","bồn rửa chén","related","word","word",NA
"lụa","bông","related","word","word",0.202400328522756
"sân vận động","bóng chày","related","word","word",NA
"bóng rổ","bóng đá","related","word","word",NA
"washington","boston","related","word","word",0.355260928352667
"ngũ cốc","bột","related","word","word",NA
"đồ ăn","bữa ăn","related","word","word",NA
"bữa tối","bữa sáng","related","word","word",NA
"snack","bữa trưa","related","word","word",NA
"tro","bụi bặm","related","word","word",NA
"cột sống","bụng","related","word","word",NA
"lời phàn nàn","buộc tội","related","word","word",NA
"chuyến du lịch","buổi hòa nhạc","related","word","word",NA
"ngày mai","buổi sáng","related","word","word",NA
"tiếp nhận","buổi tiệc","related","word","word",NA
"bộ sưu tập","buổi triển lãm","related","word","word",NA
"bệnh tiêu chảy","buồn nôn","related","word","word",NA
"phong bì","bưu kiện","related","word","word",NA
"cá mập","cá","related","word","word",NA
"khoai tây","cà chua","related","word","word",NA
"người","cá nhân","related","word","word",NA
"tách","cà phê","related","word","word",NA
"trói buộc","cà vạt","related","word","word",NA
"giấy","cái bút","related","word","word",NA
"họng","cái cổ","related","word","word",NA
"chiếc bàn","cái ghế","related","word","word",NA
"máy ảnh","cái mic cờ rô","related","word","word",NA
"cái thìa","cái nĩa","related","word","word",NA
"hộp","cái túi","related","word","word",NA
"cấm","cấm","related","word","word",1
"ấn tượng","cảm giác","related","word","word",NA
"truyền cảm hứng","cảm hứng","related","word","word",NA
"tri ân","cảm tạ","related","word","word",NA
"đi chơi picnic","cắm trại","related","word","word",NA
"noble","can đảm","related","word","word",NA
"căn nhà","căn hộ, chung cư","related","word","word",NA
"cổng thông tin","cánh cổng","related","word","word",NA
"tay","cánh tay","related","word","word",NA
"thấp","cao","related","word","word",0.50730822973666
"nghiệp dư","cao thủ","related","word","word",NA
"anarchy","capitalism","related","word","word",NA
"bùn","cát","related","word","word",0.381624799710095
"xé","cắt","related","word","word",0.392253811519777
"từ","câu","related","word","word",0.183982034469112
"cô gái","cậu bé","related","word","word",NA
"bí quyết, thuật, mẹo","câu nói đùa","related","word","word",NA
"bush","cây","related","word","word",0.0645907383089133
"dán","cây búa","related","word","word",NA
"dặm","centimet","related","word","word",0.380528708393597
"óc","cerebral","related","word","word",NA
"mẹ","cha","related","word","word",0.615903628821803
"người lớn","cha mẹ","related","word","word",NA
"an toàn","chắc chắn","related","word","word",NA
"rõ ràng","chắc chắn","related","word","word",NA
"cốc thủy tinh","chai","related","word","word",NA
"vết thương","chấn thương","related","word","word",NA
"chúc mừng","chào hỏi","related","word","word",NA
"treo","chấp hành","related","word","word",NA
"từ chối","chấp nhận","related","word","word",NA
"cháu trai","cháu trai","related","word","word",NA
"người tị nạn","chạy trốn","related","word","word",NA
"mỏ neo","chèo","related","word","word",NA
"còn sống","chết","related","word","word",NA
"chịu đựng","chết","related","word","word",NA
"lính","chiến binh","related","word","word",NA
"kế hoạch","chiến lược","related","word","word",NA
"đấu trường","chiến trường","related","word","word",NA
"cân nặng","chiều cao","related","word","word",NA
"kích cỡ","chiều dài","related","word","word",NA
"con bướm","chim","related","word","word",NA
"sự quản lý","chính quyền","related","word","word",NA
"chính thức","chính thức","related","word","word",NA
"phê bình","chính trị","related","word","word",NA
"báo chí","chính trị","related","word","word",NA
"chính sách","chính trị gia","related","word","word",NA
"sai lầm","chính xác","related","word","word",NA
"chào hàng","cho","related","word","word",NA
"chờ đã","chờ đợi","related","word","word",NA
"chịu","chó sói","related","word","word",NA
"đào","chôn","related","word","word",0.360027008605785
"telegram","chữ cái","related","word","word",NA
"mục đích","chủ đích","related","word","word",NA
"con tem","chữ ký","related","word","word",NA
"người thuê nhà","chủ nhà","related","word","word",NA
"bất động sản","chủ nhân","related","word","word",NA
"thứ bảy","chủ nhật","related","word","word",NA
"chancellor","chủ tịch","related","word","word",NA
"bán kính","chu vi","related","word","word",NA
"bình phục","chữa trị","related","word","word",NA
"sẵn sàng","chuẩn bị các","related","word","word",NA
"hoạt động","chức năng","related","word","word",NA
"cuộc thi","chức vô địch","related","word","word",NA
"tên","chức vụ","related","word","word",NA
"trạng thái","chức vụ","related","word","word",NA
"bắt cóc","chuộc","related","word","word",NA
"dự án","chương trình","related","word","word",NA
"vồ lấy","chụp lấy","related","word","word",NA
"đổ bộ","chuyến bay","related","word","word",NA
"thạo","chuyên gia","related","word","word",NA
"di chuyển","chuyển khoản","related","word","word",NA
"đặc trưng","cổ điển","related","word","word",NA
"một mình","cô đơn","related","word","word",NA
"những cậu bé","cô gái","related","word","word",NA
"hữu ích","có hiệu lực","related","word","word",NA
"dung tích","có khả năng","related","word","word",NA
"kỹ thuật","cơ khí","related","word","word",NA
"có lẽ","có lẽ","related","word","word",NA
"vô tội","có tội","related","word","word",NA
"chỉ huy","cơ trưởng","related","word","word",NA
"giải trình","có vẻ hợp lý","related","word","word",NA
"vô tình","cố ý","related","word","word",NA
"rum","cognac","related","word","word",0.386049146911233
"sừng","còi","related","word","word",0.247038986269141
"đã","còn","related","word","word",0.38723071883329
"con chuột","con chuột","related","word","word",NA
"con khỉ","con khỉ đột","related","word","word",NA
"con ong","con kiến","related","word","word",NA
"chú chó","con mèo","related","word","word",NA
"sâu","con rắn","related","word","word",NA
"ốc sên","con rùa","related","word","word",NA
"con ếch","con thằn lằn","related","word","word",NA
"cáo","con thỏ","related","word","word",NA
"tàu ngầm","con thuyền","related","word","word",NA
"con gái","con trai","related","word","word",NA
"nhện","côn trùng","related","word","word",NA
"lối ra","cổng","related","word","word",NA
"xã hội","cộng đồng","related","word","word",NA
"phân biệt chủng tộc","cộng sản","related","word","word",NA
"luật sư","công tố viên","related","word","word",NA
"công việc","công việc","related","word","word",NA
"rodeo","cowboy","related","word","word",0.257083661041915
"ứng viên","cử tri","related","word","word",NA
"cửa sổ","cửa","related","word","word",NA
"cửa tiệm","cửa hàng","related","word","word",NA
"đá","cục đá","related","word","word",NA
"từ điển","cụm từ","related","word","word",NA
"cho phép","cung cấp","related","word","word",NA
"chiến dịch","cuộc bầu cử","related","word","word",NA
"marathon","cuộc đua","related","word","word",NA
"hội nghị","cuộc họp","related","word","word",NA
"tình hình","cuộc khủng hoảng","related","word","word",NA
"mỉm cười","cười","related","word","word",NA
"đầu tiên","cuối cùng","related","word","word",NA
"độc thân","cưới nhau","related","word","word",NA
"cực khoái","cương cứng","related","word","word",NA
"ăn cắp","cướp bóc","related","word","word",NA
"trộm cắp","cướp bóc","related","word","word",NA
"anh hùng","cứu người","related","word","word",NA
"tâm thần","đa cảm","related","word","word",NA
"gầy","đặc","related","word","word",0.0548634839110228
"ngắn","dài","related","word","word",0.562738328231372
"biển","đại dương","related","word","word",NA
"vững chãi","đại lý","related","word","word",NA
"chung","đại tá","related","word","word",NA
"váy","đầm","related","word","word",0.390325186793783
"hăng hái","đam mê","related","word","word",NA
"calibre","đạn","related","word","word",NA
"góa phụ","đàn bà","related","word","word",NA
"đàn piano","đàn ghi ta","related","word","word",NA
"quốc gia","dân tộc","related","word","word",NA
"đặc biệt","đáng chú ý","related","word","word",NA
"khổ sở","đáng thương hại","related","word","word",NA
"rác thải","dành","related","word","word",NA
"chiến thắng","đánh bại","related","word","word",NA
"săn bắn","đánh bắt cá","related","word","word",NA
"đánh","đánh đập","related","word","word",NA
"khâm phục","đánh giá cao","related","word","word",NA
"chiến đấu","đánh nhau","related","word","word",NA
"sự nghiệp","danh tiếng","related","word","word",NA
"thanh kiếm","dao","related","word","word",NA
"trả lời","đáp lại","related","word","word",NA
"chèn","đặt","related","word","word",0.189416430966211
"than","dầu","related","word","word",0.27868957343451
"đầu bếp","đầu bếp","related","word","word",NA
"vai","đầu gối","related","word","word",NA
"biểu mẫu","dấu hiệu","related","word","word",NA
"tần số","dấu hiệu","related","word","word",NA
"khúc xương","đầu lâu","related","word","word",NA
"quán quân","đấu sĩ","related","word","word",NA
"thêm","dấu trừ","related","word","word",NA
"tài chính","đầu tư","related","word","word",NA
"dna","dấu vân tay","related","word","word",NA
"học hỏi","dạy","related","word","word",NA
"đứng đầu","đáy","related","word","word",NA
"trống rỗng","đầy","related","word","word",NA
"cáp","dây điện","related","word","word",NA
"chuỗi","dây thừng","related","word","word",NA
"không thể nào","dễ","related","word","word",NA
"triều đại","đế chế","related","word","word",NA
"cho phép","để cho","related","word","word",NA
"bên phải","để lại","related","word","word",NA
"kẹo","dễ thương","related","word","word",NA
"cabin","deck","related","word","word",0.263079415453181
"đến nơi","đến","related","word","word",NA
"đẹp","đẹp","related","word","word",1
"đi vào","đi","related","word","word",NA
"chạy","đi bộ","related","word","word",NA
"ngủ trưa","đi dạo","related","word","word",NA
"cái bát","đĩa ăn","related","word","word",NA
"con số","địa chỉ","related","word","word",NA
"thiên đường","địa ngục","related","word","word",NA
"khu vực","địa phương","related","word","word",NA
"chất lỏng","dịch","related","word","word",NA
"cúm","dịch bệnh","related","word","word",NA
"mù","điếc","related","word","word",0.473449554477057
"yên tĩnh","điềm tĩnh","related","word","word",NA
"hiện hành","điện","related","word","word",NA
"từ tính","điện","related","word","word",NA
"gọi","điện thoại","related","word","word",NA
"tác giả","diễn viên nam","related","word","word",NA
"cái gì","điều đó","related","word","word",NA
"xem xét","điều tra","related","word","word",NA
"kiểm tra","điều tra","related","word","word",NA
"nhà phân tích","điều tra viên","related","word","word",NA
"khói","điếu xì gà","related","word","word",NA
"ping","ding","related","word","word",0.63462960295426
"ý tưởng","định nghĩa","related","word","word",NA
"dịu dàng","dịu dàng","related","word","word",NA
"búp bê","đồ chơi","related","word","word",NA
"pao","đô la","related","word","word",NA
"tiết diện","đoạn văn","related","word","word",NA
"nhà triệu phú","doanh nhân","related","word","word",NA
"bán đấu giá","doanh thu","related","word","word",NA
"đặc biệt","độc nhất","related","word","word",NA
"liên đoàn","đội","related","word","word",NA
"mệt mỏi","đói bụng","related","word","word",NA
"yêu cầu","đơn hàng","related","word","word",NA
"xe tăng","động cơ","related","word","word",NA
"bị khóa","đóng cửa","related","word","word",NA
"tan chảy","đông cứng","related","word","word",NA
"hộ tống","đồng hành","related","word","word",NA
"nhìn","đồng hồ đeo tay","related","word","word",NA
"tĩnh mạch","động mạch","related","word","word",NA
"huy hiệu","đồng phục","related","word","word",NA
"prey","động vật ăn thịt","related","word","word",NA
"sự tiến hóa","đột biến","related","word","word",NA
"đứa bé","đứa trẻ","related","word","word",NA
"dụng cụ","dụng cụ","related","word","word",NA
"tuyến đường","đường dẫn","related","word","word",NA
"cầu","đường hầm","related","word","word",NA
"đại lộ","đường phố","related","word","word",NA
"âm đạo","dương vật","related","word","word",NA
"rusty","dusty","related","word","word",0.649084474700194
"bảo tồn","duy trì","related","word","word",NA
"ở lại","duy trì","related","word","word",NA
"gà","gà tây","related","word","word",NA
"xưởng","ga-ra","related","word","word",NA
"quả thận","gan","related","word","word",NA
"mở","gần","related","word","word",0.201567817522078
"thấy","gặp","related","word","word",0.412932322554607
"squirrel","gấu mèo - gấu mèo","related","word","word",NA
"đồng tính nữ","gay","related","word","word",NA
"nịnh nọt","gây ấn tượng","related","word","word",NA
"chết người","gây tử vong","related","word","word",NA
"ghi","ghi âm","related","word","word",NA
"giá trị","giá bán","related","word","word",NA
"gia tộc","gia đình","related","word","word",NA
"phần kết luận","giả thiết","related","word","word",NA
"giai đoạn","giai đoạn = stage","related","word","word",NA
"tăng lên","giảm bớt","related","word","word",NA
"nhà sản xuất","giám đốc","related","word","word",NA
"đơn giản","giản dị","related","word","word",NA
"âm mưu","gian lận","related","word","word",NA
"sức khỏe","giáo dục","related","word","word",NA
"trưởng khoa","giáo sư","related","word","word",NA
"qui định","giao thức","related","word","word",NA
"học sinh","giáo viên","related","word","word",NA
"cái khiên","giáp","related","word","word",NA
"che","giấu","related","word","word",0.22532133402885
"nghèo","giàu có","related","word","word",NA
"boot","giày","related","word","word",0.145979327883604
"chất độc","giết chết","related","word","word",NA
"tự tử","giết người","related","word","word",NA
"giọng nói","giọng","related","word","word",NA
"nam giới","giống cái","related","word","word",NA
"tổ chức","giữ","related","word","word",NA
"ghế sô pha","giường","related","word","word",NA
"cầu hôn","gợi ý","related","word","word",NA
"kilo","gram","related","word","word",0.202554509434946
"mang đến","gửi","related","word","word",NA
"sự phản xạ","gương","related","word","word",NA
"vịnh","hải cảng","related","word","word",NA
"sự cân bằng","hài hòa","related","word","word",NA
"kịch","hài kịch","related","word","word",NA
"thoải mái","hài lòng","related","word","word",NA
"gần biển","hải quân","related","word","word",NA
"hải quân","hạm đội","related","word","word",NA
"trọng tải","hàng hóa","related","word","word",NA
"một ngàn","hàng trăm","related","word","word",NA
"hằng ngày","hàng tuần","related","word","word",NA
"sự quản lý","hành chính","related","word","word",NA
"cử chỉ","hành động","related","word","word",NA
"tỏi","hành tây","related","word","word",NA
"mũ sắt của lính","hat","related","word","word",NA
"vấn đề","hạt","related","word","word",NA
"âm lịch","hệ mặt trời","related","word","word",NA
"mạng","hệ thống","related","word","word",NA
"cảm biến","hệ thống điều khiển","related","word","word",NA
"góc","hẻm","related","word","word",0.309113660162108
"cocaine","heroin","related","word","word",0.532858150091009
"cực kì","hết sức","related","word","word",NA
"thỉnh thoảng","hiếm","related","word","word",NA
"hợp đồng","hiệp định","related","word","word",NA
"nhận ra","hiểu biết","related","word","word",NA
"trải qua","hiểu biết","related","word","word",NA
"ảnh hưởng","hiệu ứng","related","word","word",NA
"hình ảnh","hình chụp","related","word","word",NA
"aids","hiv","related","word","word",0.475498586218231
"nứt","hố","related","word","word",0.177350679279602
"dòng sông","hồ","related","word","word",NA
"tên nick","họ","related","word","word",NA
"vé","hộ chiếu","related","word","word",NA
"cứu giúp","hỗ trợ","related","word","word",NA
"thực vật","hoa","related","word","word",NA
