"vi_target","vi_cue","vi_fake_cue","vi_fake_target","en_cue","en_target"
"ác quỷ","thiên thần","thiên mais","ác qél","angel","devil"
"adrenaline","hormone","đúngmone","tườngnaline","hormone","adrenaline"
"alibi","động cơ","độngmùi","làmbi","motive","alibi"
"alien","đĩa bay","jju bay","algon","ufo","alien"
"alpha","bravo","solvo","altuỳ","bravo","alpha"
"âm nhạc","jazz","jaét","uhdnhạc","jazz","music"
"âm thanh","tiếng ồn","tiếng ải","ơikthanh","noise","sound"
"ăn","cho ăn","chépăn","lắ","feed","eat"
"ẩn núp","lánh nạn","lánhioạn","ẩnhđẹp","refuge","shelter"
"anh em họ","quan hệ","quansyu","anh enông","relative","cousin"
"ánh sáng","bóng tối","mant tối","ánhchẳng","darkness","light"
"anh trai","chị gái","chị dôi","anhaurói","sister","brother"
"ảo giác","ảo giác","ảohgiới","ảohscác","illusion","hallucination"
"áo khoác","áo sơ mi","loolơ mi","tuếkhoác","shirt","jacket"
"áp lực","xung","xuỗn","mº lực","pulse","pressure"
"armory","arsenal","arsephus","armowitz","arsenal","armory"
"atlantic","thái bình dương","zasz bình dương","atlanford","pacific","atlantic"
"ba","một","pyt","ie","one","three"
"ba","gấp đôi","gấweđại","ie","double","triple"
"bà ngoại","ông nội","ôngengl","xipngoại","grandfather","grandmother"
"bắc","miền nam","miềnvàem","ogc","south","north"
"bạc","vàng","vàor","ivc","golden","silver"
"bác sĩ","bác sĩ phẫu thuật","bác sĩ phẫcarthur","bácsñn","surgeon","doctor"
"bài giảng","phát biểu","phátmđiều","haa giảng","speech","sermon"
"bài hát","album","aldey","bàigott","album","song"
"bài học","hội thảo","vuisthảo","jul học","seminar","lecture"
"bài thơ","bản văn","bảnvệnó","bốntthơ","text","poem"
"bầm tím","cào","tựo","yax tím","scratch","bruise"
"bán","mua","fia","ryn","buy","sell"
"bắn","bắn","içn","uin","shot","shoot"
"bạn bè","đồng nghiệp","đồng nchiếm","bạnjek","colleague","friend"
"bản đồ","la bàn","laclên","bản fc","compass","map"
"ban nhạc","dàn nhạc","dampnhạc","ban chặt","orchestra","band"
"bẩn thỉu","bẩn thỉu","bẩn tião","bẩn chìm","nasty","filthy"
"bằng chứng","bằng chứng","bằngchoơng","land chứng","evidence","proof"
