ja_cue,ja_target,type,cue_type,target_type,ja_cosine
九月,十月,related,word,word,0.574635386602959
十一月,十二月,related,word,word,0.931393489866599
六月,七月,related,word,word,0.917404786450424
偽,間違い,related,word,word,0.813013569021021
エイズ,エイチアイブイ,related,word,word,0
ボイス,アクセント,related,word,word,0.903219409021131
アクティブ,アクティビティ,related,word,word,0
すり傷,あざ,related,word,word,0
秘書,アシスタント,related,word,word,0.794548353444124
被害者,加害者,related,word,word,0.972624173285402
低い,アッパー,related,word,word,0.840756522877305
助言,アドバイス,related,word,word,0.852766400760287
ホルモン,アドレナリン,related,word,word,0.924614730025028
家,アパート,related,word,word,0.549192387619799
ガチョウ,アヒル,related,word,word,0.969371412676068
アフリカ,アメリカ,related,word,word,0.824735790457083
動機,アリバイ,related,word,word,0.916726329624817
ブラボー,アルファ,related,word,word,0.918963988937264
暖かい,冷たい,related,word,word,0.791137238043733
バナナ,いちご,related,word,word,0.876302362179781
普通,いつもの,related,word,word,0.96920249104102
通常は,いつもは,related,word,word,0.887358385392259
親戚,いとこ,related,word,word,0.88520878467863
現象,出来事,related,word,word,0.776158159616736
インスパイヤ,インスピレーション,related,word,word,0
啓示,ヴィジョン,related,word,word,0.677952604145602
ウェイター,ウェイトレス,related,word,word,0.966147241915582
インターネット,ウェブ,related,word,word,0.890663001989828
ウィスキー,ウォッカ,related,word,word,0.948883548767195
狐,ウサギ,related,word,word,0.889355516929746
嘘,うそつき,related,word,word,0.707238661739547
ストレス,うつ,related,word,word,0.788211689610733
ロバ,うま,related,word,word,0.750340861903223
わかった,うん,related,word,word,0.988831955701318
ファーム,エージェンシー,related,word,word,0.858267361506543
宇宙船,エイリアン,related,word,word,0.878372691245768
ギャラリー,展覧会,related,word,word,0.630426283022747
練習,エクササイズ,related,word,word,0
パワー,エネルギー,related,word,word,0.824348141039103
シリーズ,エピソード,related,word,word,0.642496477228728
ペスト,エピデミック,related,word,word,0
ファッショナブル,エレガント,related,word,word,0
要因,要素,related,word,word,0.847323742689086
タンク,エンジン,related,word,word,0.876959798552404
財産,オーナー,related,word,word,0.819787416776412
汚れた,おぞましい,related,word,word,0
確率,おそらく,related,word,word,0.926839642189229
デスク,オフィス,related,word,word,0.950692621705961
選択,オプション,related,word,word,0.655603111667385
人形,おもちゃ,related,word,word,0.949905328621019
緑,オレンジ,related,word,word,0.718716164894068
墓,お墓,related,word,word,0
尻,お尻,related,word,word,0.76282470585671
店,お店,related,word,word,0.879615183553269
お父ちゃん,お母さん,related,word,word,0
おじさん,お父さん,related,word,word,0.983057485719559
豚肉,お肉,related,word,word,0.932874120905164
疲れた,お腹がすいた,related,word,word,0.736956285294341
現金,お金,related,word,word,0.964911045560744
食物,お食事,related,word,word,0
床,カーペット,related,word,word,0
ロデオ,カウボーイ,related,word,word,0.774483599674098
カタツムリ,カメ,related,word,word,0.929537860428317
マフィア,カルテル,related,word,word,0.958588930613291
ワークショップ,ガレージ,related,word,word,0.84650411827293
甘い,かわいい,related,word,word,0.938436781646827
ピアノ,ギター,related,word,word,0.652431888900588
掴む,キャッチ,related,word,word,0
眼鏡,キャップ,related,word,word,0.789579622967489
司令官,キャプテン,related,word,word,0.88263404082482
ランプ,キャンドル,related,word,word,0.881842594402511
ピクニック,キャンプ,related,word,word,0.845312512888954
ローマ,ギリシャ語,related,word,word,0.825625483575742
カトリック,キリスト教徒,related,word,word,0.847911432919167
女王,キング,related,word,word,0.782478180138577
半分,クォーター,related,word,word,0.769794711764064
患者,クライアント,related,word,word,0.68119044197304
典型的,クラシック,related,word,word,0
キロ,グラム,related,word,word,0.819140067708297
ギャング,グループ,related,word,word,0.843105696923506
妄想,クレイジー,related,word,word,0.844364172853462
戸棚,クローゼット,related,word,word,0
全国,グローバル,related,word,word,0.861916097687834
デザート,ケーキ,related,word,word,0.872773988060555
ポータル,ゲート,related,word,word,0.718576396587561
遊ぶ,ゲーム,related,word,word,0.723090675077048
傷,けが,related,word,word,0.914331864710001
カップ,コーヒー,related,word,word,0.686276676723115
シルク,コットン,related,word,word,0.929447922544137
ラム,コニャック,related,word,word,0.820763501329435
オリジナル,コピー,related,word,word,0.714914448435273
ごみくず,生ごみ,related,word,word,0
インスペクタ,コミッショナー,related,word,word,0
ナビゲーション,コミュニケーション,related,word,word,0.886135205154285
社会,コミュニティ,related,word,word,0.740975487759402
ドラマ,コメディー,related,word,word,0
猿,ゴリラ,related,word,word,0.845851519478121
一度もない,これまで,related,word,word,0.962211183577428
旅行,コンサート,related,word,word,0.775452602427358
含む,コンテンツ,related,word,word,0.817000807825972
ソフトウェア,コンピューター,related,word,word,0.904780443788466
動物園,サーカス,related,word,word,0.8806355574946
奴隷,サーバント,related,word,word,0
形,サイン,related,word,word,0.658103921110215
切手,サイン,related,word,word,0.696566769461405
許可する,許す,related,word,word,0.757900465074108
スパイ,サボタージュ,related,word,word,0.940077551321423
こんにちは,さよなら,related,word,word,0.487541956349337
スープ,サラダ,related,word,word,0.887274726709398
ライトニング,サンダー,related,word,word,0.882915124355274
シネマ,シアター,related,word,word,0.89688195403456
料理,シェフ,related,word,word,0.83260568224395
避難,シェルター,related,word,word,0.907515504014469
タバコ,シガレット,related,word,word,0
通信網,システム,related,word,word,0
一滴,一口,related,word,word,0
ナイーブ,シニカル,related,word,word,0
レポーター,ジャーナリスト,related,word,word,0.919352380870251
シャツ,ジャケット,related,word,word,0.913270310213898
ワイン,シャンパン,related,word,word,0.958609352865812
登る,ジャンプ,related,word,word,0.730198485214519
ミルク,ジュース,related,word,word,0.893016485636445
ショット,シュート,related,word,word,0.900052650487262
シニア,ジュニア,related,word,word,0.931621364152141
ロミオ,ジュリエット,related,word,word,0.858340300019149
針,シリンジ,related,word,word,0
トイレ,シンク,related,word,word,0.796330746132182
国旗,シンボル,related,word,word,0.747565916096469
ブリーフケース,スーツケース,related,word,word,0.979578398546123
ゴシップ,スキャンダル,related,word,word,0.863911990932113
カレンダー,スケジュール,related,word,word,0.808418430558971
優秀な,すごい,related,word,word,0.96405226559126
有名人,スター,related,word,word,0.747335269838861
リズム,スタイル,related,word,word,0.778910886465513
オーブン,ストーブ,related,word,word,0
防ぐ,止める,related,word,word,0
打つ,ストライク,related,word,word,0.808393916759794
計画,戦略,related,word,word,0.947191881988416
ラザニア,スパゲッティ,related,word,word,0.968312519574867
印象的,すばらしい,related,word,word,0
趣味,スポーツ,related,word,word,0.768292308525399
作る,行う,related,word,word,0
競売,セール,related,word,word,0
繊細,センシティブ,related,word,word,0
マイル,センチメートル,related,word,word,0.856002320476426
クリーム,ソース,related,word,word,0.859650262346942
レモネード,ソーダ,related,word,word,0.898746773201928
範囲,ゾーン,related,word,word,0.751290261392463
ここ,そこの,related,word,word,0.927404037094943
円形,その周り,related,word,word,0
何,それ,related,word,word,0.86987728234474
縛る,結ぶ,related,word,word,0
アウト,だいたい,related,word,word,0.862612446817307
名前,タイトル,related,word,word,0.727980324017766
火薬,ダイナマイト,related,word,word,0.889517711530046
雷管,タイマー,related,word,word,0
毛布,タオル,related,word,word,0.948292002505251
潜在的,才能,related,word,word,0
踊り子,ダンス,related,word,word,0.78473093765568
パン,チーズ,related,word,word,0.812204889715306
同盟,チーム,related,word,word,0.671684762830224
教会,チャペル,related,word,word,0.913908455191533
障害物,障害,related,word,word,0.941328228539757
競争,チャンピオンシップ,related,word,word,0.653751887364762
シュガー,チョコレート,related,word,word,0.950012219486153
十代,ティーンエイジャー,related,word,word,0.801013855394041
実験,テスト,related,word,word,0.737723772395927
キャビン,デッキ,related,word,word,0.893168660003808
ゴルフ,テニス,related,word,word,0.952316857774375
チップ,デバイス,related,word,word,0.878081190722607
抗議する,デモンストレーション,related,word,word,0
無線,テレビ,related,word,word,0.587822820492242
窓,ドア,related,word,word,0.869489013589499
シャワー,トイレ,related,word,word,0.877049602567892
カエル,トカゲ,related,word,word,0.938276366492476
他の場所で,どこかに,related,word,word,0.961870385631008
非常に,とても,related,word,word,0.967295957986477
じゃがいも,トマト,related,word,word,0.979436074809464
尋問,裁判,related,word,word,0.908140903056451
ジープ,トラック,related,word,word,0.727894835313553
ダブル,トリプル,related,word,word,0.883125388958181
ポンド,ドル,related,word,word,0.889377949569746
スカート,ドレス,related,word,word,0.886156712554244
橋,トンネル,related,word,word,0.808940250999247
剣,ナイフ,related,word,word,0.817863610859249
何もない,なにか,related,word,word,0.95413074511994
値する,ふさわしい,related,word,word,0
チャンネル,ニュース,related,word,word,0.833671633578289
ポジティブ,ネガティブ,related,word,word,0.936228063326956
ハツカネズミ,ドブネズミ,related,word,word,0.949843261013968
指輪,ネックレス,related,word,word,0.940810852015495
クラブ,バー,related,word,word,0.893133145431286
歓迎会,パーティ,related,word,word,0
宇宙飛行士,パイロット,related,word,word,0.902690386565729
浅はか,バカ,related,word,word,0
ばかげている,不合理な,related,word,word,0
接吻,ハグ,related,word,word,0.96964155702336
電車,バス,related,word,word,0.906106614709395
チケット,パスポート,related,word,word,0.924635996012211
コード,パスワード,related,word,word,0.953545994852308
蜂蜜,バター,related,word,word,0.822941385738078
箱,バッグ,related,word,word,0.834366793355394
封筒,パッケージ,related,word,word,0.804330414350465
スーパーマン,バットマン,related,word,word,0.938797771133602
満足した,ハッピー,related,word,word,0
シナモン,バニラ,related,word,word,0.888336206075319
ショー,パフォーマンス,related,word,word,0.917527333270783
トレーラー,バン,related,word,word,0.937796496557132
布,ハンカチ,related,word,word,0.819093250747741
オーケストラ,バンド,related,word,word,0.899150026092145
サンドイッチ,ハンバーガー,related,word,word,0.924738023261087
棒,ハンマー,related,word,word,0.627610915623346
破片,断片,related,word,word,0
酒類,ビール,related,word,word,0.594829334235509
髪,あごひげ,related,word,word,0
タンパク質,ビタミン,related,word,word,0.942802531308714
ディスク,ビデオ,related,word,word,0.833100881512046
重い,どっかりと,related,word,word,0
錠剤,ピル,related,word,word,0
郵便物,ファックス,related,word,word,0
現実,ファンタジー,related,word,word,0.694336452903014
印象,フィーリング,related,word,word,0.759663974748132
植民地,同盟,related,word,word,0.947365441066599
壁,フェンス,related,word,word,0.776110141213897
スプーン,フォーク,related,word,word,0.91547629252049
バスケットボール,フットボール,related,word,word,0.982002761198365
着陸,フライト,related,word,word,0.754575890347871
プライベート,プライバシー,related,word,word,0.899288349311891
セメント,プラスチック,related,word,word,0.892651553163482
白,ブラック,related,word,word,0.625296080582361
英語,フランス語,related,word,word,0.543143998852937
りんご,フルーツ,related,word,word,0.854736190988785
コーチ,プレーヤー,related,word,word,0.790542093887789
脈拍,プレッシャー,related,word,word,0.747479103004761
礼儀正しい,フレンドリー,related,word,word,0
事業,プログラム,related,word,word,0.876119377621128
ルール,プロトコル,related,word,word,0.834694161451632
モデル,プロトタイプ,related,word,word,0.891432951166775
アマチュア,プロフェッショナル,related,word,word,0.915647285483752
トースト,ベーコン,related,word,word,0.926574342750798
ソファー,ベッド,related,word,word,0.951157016277136
部屋,ベッドルーム,related,word,word,0
いも虫,ヘビ,related,word,word,0
救急車,ヘリコプター,related,word,word,0.808912598630401
コカイン,ヘロイン,related,word,word,0.980881591496146
紙,ペン,related,word,word,0.757280944615014
ギャンブル,ポーカー,related,word,word,0.882866698328187
ポンプ,ホース,related,word,word,0.801395664244764
潜水艦,ボート,related,word,word,0.88455430004548
警笛,ホイッスル,related,word,word,0.928908077117072
灰,ほこり,related,word,word,0
さびた,ほこりの多い,related,word,word,0
マネージャー,ボス,related,word,word,0.913007052401598
ワシントン,ボストン,related,word,word,0.94629472161661
グラス,ボトル,related,word,word,0
クリスマス,休日,related,word,word,0.751061535643221
広告,マーケティング,related,word,word,0.775950398847575
カメラ,マイク,related,word,word,0.891606581320351
プラス,マイナス,related,word,word,0.92875098117332
すでに,まだ,related,word,word,0.918885610604105
ヨガ,マッサージ,related,word,word,0.903666819250691
トーナメント,試合,related,word,word,0.820357348442679
ケチャップ,マヨネーズ,related,word,word,0.886467802695634
会議,ミーティング,related,word,word,0.729274922623902
ロケット,ミサイル,related,word,word,0.932760594832945
タスク,ミッション,related,word,word,0.783274052403129
キロメートル,メートル,related,word,word,0.98670375994428
乳母,メイド,related,word,word,0
人工物,大メダル,related,word,word,0
トロフィー,メダル,related,word,word,0.923847222839989
警告,メッセージ,related,word,word,0.74014766450059
たまに,めったに,related,word,word,0
サービス,メンテナンス,related,word,word,0.854257974053572
ホテル,モーテル,related,word,word,0.922703639824807
説明,もっともらしい,related,word,word,0
画面,モニター,related,word,word,0.810998991352978
アスピリン,モルヒネ,related,word,word,0.912324267547588
バッジ,ユニフォーム,related,word,word,0.926556537492307
ドラゴン,ライオン,related,word,word,0.800315471961327
暗闇,光,related,word,word,0.751347231899061
リス,アライグマ,related,word,word,0.904359522786304
軽食,ランチ,related,word,word,0
要求する,リクエスト,related,word,word,0.59350909765659
貧しい,リッチ,related,word,word,0
保守的,リベラル,related,word,word,0
タクシー,リムジン,related,word,word,0.899438440774135
ミン,リン,related,word,word,0.94041346585106
パブ,レストラン,related,word,word,0.866995105694427
主人,婦人,related,word,word,0.912006790527251
地域の,ローカル,related,word,word,0
鎖,ロープ,related,word,word,0.751855523442791
帝王,ローマ,related,word,word,0.740374986287537
クレジット,ローン,related,word,word,0.850309356858357
鍵,ロック,related,word,word,0.450313460803197
盗み,強奪する,related,word,word,0
ツナ,ロブスター,related,word,word,0.722171326180245
劇的,ロマンチック,related,word,word,0
農家,ワーカー,related,word,word,0
ケーブル,ワイヤー,related,word,word,0.947607577798891
匿名,わからない,related,word,word,0.905841078619339
解毒剤,ワクチン,related,word,word,0
シャーロック,ワトソン,related,word,word,0.827468073069805
当然,一般的,related,word,word,0.900195587219524
ピン,ディン,related,word,word,0.901349135402884
チキン,七面鳥,related,word,word,0.891879777775137
一,三,related,word,word,0.86933206473918
円,三角形,related,word,word,0.708499684731551
下,上,related,word,word,0.860314022609317
議会,上院,related,word,word,0.896635405350733
知事,上院議員,related,word,word,0.921022880034143
頂上,ふもと,related,word,word,0
不正,不公平な,related,word,word,0
不可,不可能,related,word,word,0.969375789944239
出席,欠席,related,word,word,0
不幸な,不幸,related,word,word,0
気持ちの悪い,不快な,related,word,word,0
不快な,不潔な,related,word,word,0
提案する,与える,related,word,word,0.894764128259847
インターナショナル,世界,related,word,word,0.857768740965513
軍曹,中尉,related,word,word,0.932653433254137
外部,内部,related,word,word,0.608724463950689
二次,主要な,related,word,word,0
物体,主題,related,word,word,0.905159330624429
運転する,乗る,related,word,word,0.853520179951791
遮る,乱す,related,word,word,0
待つ,予想する,related,word,word,0
