"ro_target","ro_cue","ro_fake_cue","ro_fake_target","en_cue","en_target"
"a aprecia","admira","adminezi","a aprprus","admire","appreciate"
"a atrage","atenţie","atţiţie","a atrombs","attention","attract"
"a confirma","confirmare","conkushimare","spilnfirma","confirmation","confirm"
"a desena","a picta","avetcta","dhanesena","paint","draw"
"a intelege","realizează","realitanţiiză","a intelslist","realize","understand"
"a muri","suferi","sujesc","bdmuri","suffer","die"
"a pastra","hold","ield","a pasoni","hold","keep"
"a preda","învăța","învălesc","a prppu","learn","teach"
"a pregati","gata","părta","a prnetti","ready","prepare"
"a pune","introduce","inținânduce","a prís","insert","put"
"a rade","zâmbet","zâmmas","kumade","smile","laugh"
"a reusi","administra","adminisneşti","a rewnya","manage","succeed"
"a rezista","rezistenţă","rezisbeşti","a rezimers","resistance","resist"
"a sari","a urca","a uliş","ľisari","climb","jump"
"a tăia","rupere","înţepere","a tguy","tear","cut"
"a zbura","teren","tezit","a zbgesh","land","fly"
"abandon","părăsi","păpiersi","abanght","leave","abandon"
"abdominal","spinarii","atârnarii","abdomisiuni","spinal","abdominal"
"abilitate","capacitate","capamondultate","stranlitate","capacity","ability"
"abordare","număr","nuirt","chandare","number","address"
"absența","prezenţă","preranţã","abbottța","presence","absence"
"absolvent","diplomă","dienigmă","absolniți","diploma","graduate"
"absurd","ridicol","ridipper","abgled","ridiculous","absurd"
"accent","voce","parce","acnind","voice","accent"
"accept","refuza","retreaza","acclin","refuse","accept"
"accident","incident","incicări","accicări","incident","accident"
"acea","ce","gă","achi","what","that"
"acolo","aici","aiar","maslo","here","there"
"acord","contracta","conajusta","achud","contract","agreement"
"act","gest","măst","zit","gesture","act"
"activati","trigger","triplea","actizesc","trigger","activate"
"activitate","activ","acder","poftestivitate","active","activity"
"actor","autor","auzin","acția","author","actor"
"acuzare","plângere","aresgere","prinzare","complaint","accusation"
"adăpost","refugiu","refudati","lippost","refuge","shelter"
"adiţional","suplimentar","subînţementar","adidașinal","extra","additional"
"administrativ","management","managenisys","administradenţei","management","administrative"
"adolescent","adolescenta","schimlescenta","adolesnian","teenage","teenager"
"adrenalina","hormon","irimon","desfănalina","hormone","adrenaline"
"aduna","colectarea","cosculptarea","filna","collect","gather"
"adversar","dusman","twoman","adverdezi","enemy","opponent"
"aeroport","terminal","termiţând","aeroseas","terminal","airport"
"afaceri","industrie","induslant","smoceri","industry","business"
"afirmație","cometariu","cometaggert","otrămație","comment","statement"
"agenţie","firmă","şcomă","oaenţie","firm","agency"
"agitat","îngrijorat","îngrijogging","tactat","worried","nervous"
"al patrulea","al treilea","al treganți","al patrdrati","third","fourth"
"alarma","alerta","imorta","chanma","alert","alarm"
"albastru","maro","majes","albascati","brown","blue"
"alee","colţ","cojam","algi","corner","alley"
"alegător","candidat","candiggle","frangător","candidate","voter"
"alegeri","campanie","camparati","torgeri","campaign","election"
"alfa","bravo","chivo","allin","bravo","alpha"
"alibi","motiv","movăm","lumbi","motive","alibi"
"america","africa","fragca","prosrica","africa","america"
"amestec","combinaţie","agreabinaţie","amesrow","combination","mixture"
"amiază","miezul nopţii","miezul ndwest","chelază","midnight","noon"
"amprentă","adn","hin","aminaltă","dna","fingerprint"
"amuzant","spiritual","ninţăritual","lunzant","witty","funny"
"analiză","autopsie","plutosie","elecliză","autopsy","analysis"
"animal","fiară","tornară","anippy","beast","animal"
"antreprenor","milionar","milioshing","antrepreplăti","millionaire","entrepreneur"
"apăra","proteja","blesteja","cârra","protect","defend"
"apartament","casă","catat","echitament","house","apartment"
"aprobare","permisiune","permicroţine","treabare","permission","approval"
"arestare","pedepsi","peagresi","ploatare","punish","arrest"
"argint","de aur","de înd","arnoît","golden","silver"
"arhitect","inginer","ingiulim","arhigiți","engineer","architect"
"armă","pistol","piszic","arria","pistol","weapon"
"armată","legiune","letroane","exhumată","legion","army"
"armonie","echilibru","înţelibru","armolari","balance","harmony"
"armură","arsenal","arselwyn","ardingră","arsenal","armory"
"armură","scut","wiut","ardingră","shield","armor"
"aroganţă","ignoranţă","ignotrari","itaganţă","ignorance","arrogance"
"arteră","venă","prană","blesteră","vein","artery"
"artificial","natural","natuzezi","artifimontreal","natural","artificial"
"artilerie","cavalerie","cavalegămân","artilegămân","cavalry","artillery"
"asasin","mercenar","mercerşeş","messin","mercenary","assassin"
"ascunde","acoperi","acoroşi","aspierde","cover","hide"
"asista","ajutor","ceator","sponta","help","assist"
"asistent","secretar","secredeţi","asisbesc","secretary","assistant"
"asistenţă","a sustine","ecuastine","asiscieni","support","assistance"
"aştepta","aștepta","așplanta","aşplanta","wait","expect"
"atac","invazie","invamali","atâr","invasion","attack"
"atacator","victimă","scortimă","eleccator","victim","attacker"
"atentat, încercare","încerca","înarunca","atentat, încerționând","try","attempt"
"atitudine","opinie","flănie","preşetudine","opinion","attitude"
"atlantic","pacific","pacireşe","zgâritic","pacific","atlantic"
"atmosfera","mediu inconjurator","mediu inconjurmulţeşti","atbroşura","environment","atmosphere"
"autobuz","tren","trke","autoloh","train","bus"
"autoritate","jurisdicție","jugheaddicție","audienţeritate","jurisdiction","authority"
"autostradă","drum","drie","aprintradă","road","highway"
"auzi","asculta","asplanta","auru","listen","hear"
"băiat","fată","vistă","băinici","girl","boy"
"baie","duș","păș","creie","shower","bathroom"
"bani","bani gheata","bani gheinţări","bală","cash","money"
"bar","club","cloz","wer","club","bar"
"barbă","păr","yor","zâmbă","hair","beard"
"barcă","submarin","submaieşti","orică","submarine","boat"
"baseball","stadiu","stafat","basecinţell","stadium","baseball"
"batalion","regiment","regilroy","batalinisti","regiment","battalion"
"batistă","pânză","croză","banezită","cloth","handkerchief"
"batman","supraom","subiecom","omaman","superman","batman"
"battlefield","arenă","zornă","conţitlefield","arena","battlefield"
"beat","sobru","sodul","benig","sober","drunk"
"bere","băutură","oportutură","şoare","drink","beer"
"bijuterie","diamant","diapple","bijuteneşti","diamond","jewel"
"biologic","chimic","chinea","bioloteşti","chemical","biological"
"biologie","chimie","chidea","bioloneşti","chemistry","biology"
"birou","birou","bivet","binua","desk","office"
"blând","moale","talle","blaid","soft","gentle"
"boală","gripa","valpa","zmelă","flu","disease"
"bogat","săraci","săichi","borim","poor","rich"
"bogatie","comoară","colaciră","bogament","treasure","wealth"
"bolnav","bolnav","bolvos","boltăi","ill","sick"
"boston","washington","washincări","zelton","washington","boston"
"brânză","pâine","tălne","frează","bread","cheese"
"braţ","mână","surnă","brșc","hand","arm"
"broasca testoasa","melc","mewk","atenţioca testoasa","snail","turtle"
"bucată","fragment","coapment","seascată","fragment","piece"
"bucătar","bucătar","bucăprui","bucărând","cook","chef"
"bucurie","plăcere","francere","buculezi","pleasure","joy"
"bumbac","mătase","afectase","bumplez","silk","cotton"
"bunica","bunicul","bunizezi","odihnica","grandfather","grandmother"
"ca de obicei","comun","coini","ca de ostrans","ordinary","usual"
"cadavru","corp","conz","cadathya","body","corpse"
"cadou","compliment","complicați","cairt","compliment","gift"
"cafea","ceașcă","echocă","catah","cup","coffee"
"cal","măgar","mătro","bul","donkey","horse"
"calculati","numara","afirmara","calcutler","count","calculate"
"calculator","software","monteare","calculadriel","software","computer"
"cale","traseu","trarot","cator","route","path"
"calitate","cantitate","obiectitate","mongolitate","quantity","quality"
"calm","liniște","liprente","caob","quiet","calm"
"camion","jeep","jenau","caclin","jeep","truck"
"camping","picnic","frenic","bruping","picnic","camping"
"campionat","concurență","concunoștiță","campioffrey","competition","championship"
"cancer","tumor","tupân","canvie","tumor","cancer"
"cântec","album","alyev","cânvim","album","song"
"cantitate","sumă","suria","obiectitate","sum","amount"
"capac","ochelari","theolari","cavon","glasses","cap"
"capelă","biserică","transserică","caperați","church","chapel"
"capitalism","anarhie","anartoo","capitaggert","anarchy","capitalism"
"căpitan","comandant","comantern","căpisuri","commander","captain"
"căpșună","banană","baabţină","esenșună","banana","strawberry"
"captură","apuca","bisca","autotură","grab","catch"
"cardinal","episcop","stăscop","cardigest","bishop","cardinal"
"cargo","sarcină","autocină","dezgo","load","cargo"
"carne","porc","popt","niene","pork","meat"
"carte","biblie","bistle","beşte","bible","book"
"cartel","mafia","masli","carpie","mafia","cartel"
"căsătorie","divorț","disoan","căsătoceşti","divorce","marriage"
"căsătorit","singur","sinţat","căsătopless","single","married"
"castel","palat","panis","ţintel","palace","castle"
"câştigător","pierzător","trunzător","obiectigător","loser","winner"
"cauză","motiv","movăm","cauresc","reason","cause"
"ceapă","usturoi","ustuseau","paspă","garlic","onion"
"ceas","uite","flete","cesă","look","watch"
"ceaţă","nor","eir","virţă","cloud","fog"
"centimetru","mile","prele","centimeneşti","mile","centimeter"
"cere","întrebare","înschimbare","prire","question","ask"
"cerebral","creier","creşat","ceresezi","brain","cerebral"
"ceremonie","ritual","rituiesc","cerevanşatnie","ritual","ceremony"
"cerere","cerere","ceretlic","ceretlic","demand","request"
"ceresc","cer","ñor","cepeti","sky","heavenly"
"ceva","nimic","nisul","celes","nothing","something"
"chelneriţă","chelner","chelția","domnineriţă","waiter","waitress"
"chirie","închiriere","întămplăriere","brarie","hire","rent"
"chitară","pian","picã","atentară","piano","guitar"
"chiuvetă","toaletă","obisletă","fragvetă","toilet","sink"
"cicatrice","tatuaj","tatuşesc","cicadenţace","tattoo","scar"
"cimitir","mormânt","morblat","cimipeam","grave","cemetery"
"cinic","naiv","natä","ciați","naive","cynical"
"ciocan","băț","onț","ciotui","stick","hammer"
"ciocolată","zahăr","zawai","grandcolată","sugar","chocolate"
"circ","grădină zoologică","grădină zoologchsführer","ciup","zoo","circus"
"ciudat","neobișnuit","neonowensnuit","pondat","unusual","strange"
"civilizaţie","cultură","efectură","civilizastanţă","culture","civilization"
"clădire","turn","tuje","traudire","tower","building"
"clasic","tipic","tiței","clamei","typical","classic"
"client","rabdator","hulidator","clilah","patient","client"
"clinica","spital","costal","izgonica","hospital","clinic"
"coasta","plajă","resjă","falsta","beach","coast"
"colaps","toamna","plumna","codame","fall","collapse"
"colier","inel","fael","colitati","ring","necklace"
"colonel","general","genezezi","colocand","general","colonel"
"combustibil","gaz","buz","comatlantibil","gas","fuel"
"comedie","dramă","hărmă","comeneas","drama","comedy"
"comerciant","comercial","cocoşatcial","comerciclezi","commercial","merchant"
"comisar","inspector","incoşător","comitivi","inspector","commissioner"
"comitet","comision","comifort","comisini","commission","committee"
"compasiune","răbdare","chamdare","compacheţene","patience","compassion"
"complet","absolut","absoneci","compâni","absolutely","completely"
"complet","total","tofon","compâni","total","complete"
"comunicare","navigare","naviziunire","comunicarevanşezi","navigation","communication"
"comunist","rasist","razici","comuraii","racist","communist"
"comunitate","societate","sotranşeetate","comudezvoltate","society","community"
"concediere","demisie","demiteţi","dezmemcediere","resignation","dismissal"
"concentrați-vă","focus","foric","concendenţiițivă","focus","concentrate"
"concert","tur","yor","conlear","tour","concert"
"conducător auto","pasager","pasacrat","conducătotroşoc","passenger","driver"
"conexiune","a lua legatura","a lua legaclanşăm","conejohanne","contact","connection"
"confidențialitate","privat","priani","confidențialitatebracci","private","privacy"
"confuzie","haos","hadul","confutari","chaos","confusion"
"coniac","rom","zum","conghie","rum","cognac"
"constituţie","lege","lelor","constitureşti","law","constitution"
"construi","constructie","conobiectie","contrund","construction","build"
"contesă","baron","babwe","stratesă","baron","countess"
"continua","continua","contipini","contirani","proceed","continue"
"conţinut","conține","înălține","montenut","contain","content"
"contrar","opus","raus","conpret","opposite","contrary"
"copac","tufiș","turch","cocro","bush","tree"
