ro_cue,ro_target,type,cue_type,target_type,ro_cosine
absolut,complet,related,word,word,0.545900582507094
accidental,intentionat,related,word,word,0.434401362487372
activ,activitate,related,word,word,0.471967126219208
de fapt,într-adevăr,related,word,word,
administrație,guvern,related,word,word,0.350876803107633
admira,aprecia,related,word,word,0.494470469117391
admite,mărturisi,related,word,word,0.391001676251514
adult,părinte,related,word,word,0.389806557122407
publicitate,marketing,related,word,word,0.564654790305847
sfat,sfătui,related,word,word,0.354409783553821
africa,america,related,word,word,0.680488739817676
agent,detectiv,related,word,word,0.517948621014307
sida,hiv,related,word,word,0.717590883450532
aer,oxigen,related,word,word,0.408506603497746
album,cântec,related,word,word,0.573364179491105
alcool,drog,related,word,word,0.547544355051121
alerta,alarma,related,word,word,0.50589659018747
viu,mort,related,word,word,0.543067101685712
permite,lăsa,related,word,word,0.497944880712996
singur,singuratic,related,word,word,0.496170691337828
deja,încă,related,word,word,0.486671412697708
întotdeauna,constant,related,word,word,0.338561049049041
amator,profesionist,related,word,word,0.639546173289583
ambasador,ministru,related,word,word,0.521628475038587
ambulanță,elicopter,related,word,word,0.410468978362279
analist,investigator,related,word,word,0.555191015900762
anarhie,capitalism,related,word,word,0.482142049873872
anatomie,psihologie,related,word,word,0.548015394889045
ancoră,naviga,related,word,word,0.372567848867563
înger,diavol,related,word,word,0.591110248090806
furie,turbare,related,word,word,0.354724863864247
aniversare,zi de naștere,related,word,word,
anonim,necunoscut,related,word,word,0.482363406966147
rezolvare,răspuns,related,word,word,0.339202993506713
antidot,vaccin,related,word,word,0.66844893104133
măr,fructe,related,word,word,0.459870510866766
aplica,folosi,related,word,word,0.374743411122147
domeniu,zonă,related,word,word,0.322664182727938
arenă,câmp de luptă,related,word,word,
aranja,organiza,related,word,word,0.497653526766745
sosire,plecare,related,word,word,0.518321626386
sosi,veni,related,word,word,0.542088625443525
arsenal,depozit de arme,related,word,word,
artă,literatură,related,word,word,0.532975419478408
articol,ziar,related,word,word,0.699189553291867
artefact,medalion,related,word,word,0.448949441662759
artist,pictor,related,word,word,0.723664157790419
cenușă,praf,related,word,word,0.435302995904322
aspirină,morfină,related,word,word,0.613414598562826
cur,fund,related,word,word,0.81573042798298
astronaut,pilot,related,word,word,0.520173531551031
atomic,nuclear,related,word,word,0.603139145171621
atenţie,atrage,related,word,word,0.244592429762646
atractiv,fermecător,related,word,word,0.558884516559192
licitaţie,vânzare,related,word,word,0.645677601242765
autor,actor,related,word,word,0.431796709760089
autograf,fotograf,related,word,word,0.413643566344272
autopsie,analiză,related,word,word,0.471421298205966
bulevard,stradă,related,word,word,0.497817465865337
bebeluș,copil,related,word,word,0.57841561211342
înapoi,întoarcere,related,word,word,0.31846081309224
insignă,uniformă,related,word,word,0.579512284374566
echilibru,armonie,related,word,word,0.490349986796836
banană,căpșună,related,word,word,0.431117558944551
bancher,investitor,related,word,word,0.52326702427727
bancar,financiar,related,word,word,0.526349368837879
baron,contesă,related,word,word,0.378637910335182
bază,sediu,related,word,word,0.291331849874807
baschet,fotbal,related,word,word,0.862964570021513
golf,port,related,word,word,0.245835621123584
plajă,coastă,related,word,word,0.521986917073772
urs,lup,related,word,word,0.643086395854492
fiară,animal,related,word,word,0.476594125259448
albină,furnică,related,word,word,0.58870057864073
biblie,carte,related,word,word,0.496437600419103
mare,imens,related,word,word,0.60577039847083
lega,cravată,related,word,word,0.329881144783403
naștere,sarcină,related,word,word,0.241375998981709
episcop,cardinal,related,word,word,0.683665376676793
pătură,prosop,related,word,word,0.508571594954034
orb,surd,related,word,word,0.617418370254697
sânge,urină,related,word,word,0.592336215529344
corp,cadavru,related,word,word,0.456336185271748
bombă,exploziv,related,word,word,0.579312558996321
os,craniu,related,word,word,0.513112646880344
bonus,recompensă,related,word,word,0.417922394356365
cizmă,pantof,related,word,word,0.486599216614714
castron,farfurie,related,word,word,0.569078001476825
cutie,sac,related,word,word,0.463504440634036
băieți,fete,related,word,word,0.363038248395362
creier,cerebral,related,word,word,0.614781593754162
marcă,produs,related,word,word,0.288456146018488
bravo,alfa,related,word,word,0.373475080493296
pâine,brânză,related,word,word,0.605083287744787
mită,şantaj,related,word,word,0.529787354026654
pod,tunel,related,word,word,0.486958528867047
servietă,valiză,related,word,word,0.734462086218159
aduce,trimite,related,word,word,0.410484354522237
maro,albastru,related,word,word,0.620034403185399
brutal,crud,related,word,word,0.548420597567144
buget,finanțarea,related,word,word,0.392333502045104
izbucni,exploda,related,word,word,0.463071696158455
tufiș,copac,related,word,word,0.4507780750725
fluture,pasăre,related,word,word,0.491190906734935
buton,presa,related,word,word,0.164183953260026
cumpăra,vinde,related,word,word,0.664167533467329
cabină,punte,related,word,word,0.434199284118496
cabinet,dulap,related,word,word,0.379107458671841
cablu,sârmă,related,word,word,0.494618244623201
cezar,roma,related,word,word,0.56080975769551
calendar,orar,related,word,word,0.434497230233734
calibru,glonţ,related,word,word,0.496498564891433
apel,telefon,related,word,word,0.56205925610555
aparat foto,microfon,related,word,word,
tabără,sat,related,word,word,0.43516617858129
campanie,alegeri,related,word,word,0.424897513376057
candidat,alegător,related,word,word,0.495398380732075
capacitate,abilitate,related,word,word,0.634985984014984
capitală,oraș,related,word,word,0.335547589090223
capsulă,sondă,related,word,word,0.459740910667815
carbon,hidrogen,related,word,word,0.57499164359059
carieră,reputație,related,word,word,0.360210753406242
carnaval,festival,related,word,word,0.519972074638261
numerar,bani,related,word,word,0.507392688396555
catolic,creştin,related,word,word,0.593511802237798
cavalerie,artilerie,related,word,word,0.58792983141892
celebritate,stea,related,word,word,0.262914507485584
celulă,închisoare,related,word,word,0.582304563534092
ciment,plastic,related,word,word,0.470810913898309
secol,deceniu,related,word,word,0.617028682127862
lanţ,frânghie,related,word,word,0.29262357265248
campion,luptător,related,word,word,0.538170593727847
şansă,posibilitate,related,word,word,0.55008423274464
cancelar,președinte,related,word,word,0.386671370913094
schimbare,îmbunătăţire,related,word,word,0.525651958036054
canal,știri,related,word,word,0.281040871536268
haos,confuzie,related,word,word,0.51747178320895
personaj,personalitate,related,word,word,0.389493340026696
caritate,donație,related,word,word,0.420456905004607
farmec,frumuseţe,related,word,word,0.400683751960019
inspecta,verifica,related,word,word,0.535998997487494
chimic,biologic,related,word,word,0.522552711810802
chimie,biologie,related,word,word,0.725014657716007
pui,curcan,related,word,word,0.354134488310183
cip,dispozitiv,related,word,word,0.562041034923003
alegere,opțiune,related,word,word,0.4463318190943
alege,selectați,related,word,word,0.38700550279236
crăciun,vacanţă,related,word,word,0.401899559310931
biserică,capelă,related,word,word,0.69875727895512
cinema,teatru,related,word,word,0.499241864429279
scorţişoară,vanilie,related,word,word,0.589151534497535
cerc,triunghi,related,word,word,0.502640782846722
civil,militar,related,word,word,0.553371967792704
clan,familie,related,word,word,0.420271878251499
clasă,şcoală,related,word,word,0.569284491224202
curat,spălare,related,word,word,0.318720016935288
clar,evident,related,word,word,0.60883539517204
urca,sări,related,word,word,0.467507403373375
pânză,batistă,related,word,word,0.404998013266531
nor,ceaţă,related,word,word,0.430863357945536
club,bar,related,word,word,0.684499037073417
antrenor,jucător,related,word,word,0.608867331415285
cărbune,petrol,related,word,word,0.480260560826008
cocaină,heroină,related,word,word,0.835552174328139
cod,parolă,related,word,word,0.492239191666188
sicriu,înmormântare,related,word,word,0.452789908668902
coleg,prieten,related,word,word,0.68284744622599
colecta,aduna,related,word,word,0.56301753145683
colegiu,universitate,related,word,word,0.71877063854934
colonie,federaţie,related,word,word,0.3179763301748
luptă,încăierare,related,word,word,0.520426848121389
combinaţie,amestec,related,word,word,0.443768603184805
