"nl_cue","nl_target","type","cue_type","target_type","nl_cosine"
"advocaat","aanklager","related","word","word",0.598104278472254
"conclusie","aanname","related","word","word",0.488352688591076
"uitleg","aannemelijk","related","word","word",0.323524603629385
"aandacht","aantrekken","related","word","word",0.27810672893777
"weigeren","aanvaarden","related","word","word",0.553007397072363
"invasie","aanval","related","word","word",0.588807697057543
"slachtoffer","aanvaller","related","word","word",0.578510885568114
"extra","aanvullend","related","word","word",0.350789387577235
"punt","aanwijzen","related","word","word",0.102693334454193
"banaan","aardbei","related","word","word",0.5410783993701
"val","aas","related","word","word",0.264508670885899
"spinale","abdominaal","related","word","word",0.553308257384257
"belachelijk","absurd","related","word","word",0.617816425772712
"stem","accent","related","word","word",0.432848011107047
"voorkant","achterkant","related","word","word",0.805401413463985
"bijnaam","achternaam","related","word","word",0.558559133151358
"volgen","achtervolging","related","word","word",0.306085216809432
"schrijver","acteur","related","word","word",0.598851608639301
"in gang zetten","activeren","related","word","word",NA
"actief","activiteit","related","word","word",0.506070633487836
"beheer","administratief","related","word","word",0.328234052941247
"hormoon","adrenaline","related","word","word",0.531539673281279
"nummer","adres","related","word","word",0.578677259037489
"advies","adviseren","related","word","word",0.474354706698569
"serie","aflevering","related","word","word",0.559858314376692
"vies","afschuwelijk","related","word","word",0.508432636483632
"diploma","afstuderen","related","word","word",0.567868127190574
"afval","afval","related","word","word",1
"aanwezigheid","afwezigheid","related","word","word",0.672764373079052
"contract","akkoord","related","word","word",0.385234643929388
"alert","alarm","related","word","word",0.360755090149136
"motief","alibi","related","word","word",0.521878052458493
"alleen","alleen","related","word","word",1
"bravo","alpha","related","word","word",0.464217414578779
"afrika","amerika","related","word","word",0.51162803333055
"basketbal","amerikaans voetbal","related","word","word",NA
"autopsie","analyse","related","word","word",0.516732022911024
"verschrikking","angst","related","word","word",0.494789838679503
"antwoord","antwoorden","related","word","word",0.811106587739468
"chip","apparaat","related","word","word",0.481071171580131
"huis","appartement","related","word","word",0.70717305951736
"ingenieur","architect","related","word","word",0.538890958048742
"hand","arm","related","word","word",0.491050921661946
"straffen","arresteren","related","word","word",0.42491274809397
"onwetendheid","arrogantie","related","word","word",0.591083420834486
"cavalerie","artillerie","related","word","word",0.601052810662305
"chirurg","arts","related","word","word",0.732316341158304
"secretaris","assistent","related","word","word",0.459441879910346
"grote oceaan","atlantische oceaan","related","word","word",NA
"omgeving","atmosfeer","related","word","word",0.362171449882776
"dichter","auteur","related","word","word",0.358962428606002
"voertuig","auto","related","word","word",0.583566406173659
"nacht","avond","related","word","word",0.70212107748732
"planeet","baan","related","word","word",0.314574418867987
"haar","baard","related","word","word",0.259513890436863
"manager","baas","related","word","word",0.521563406777425
"douche","badkamer","related","word","word",0.625428892678588
"orkest","band","related","word","word",0.416001496148443
"club","bar","related","word","word",0.63115491731026
"stadion","basketbal","related","word","word",0.400285137071687
"regiment","bataljon","related","word","word",0.701067791996715
"superman","batman","related","word","word",0.556647215342402
"laten schrikken","beangstigen","related","word","word",NA
"bank","bed","related","word","word",0.341583075182154
"slaaf","bediende","related","word","word",0.401282830379722
"industrie","bedrijf","related","word","word",0.478384197426663
"begeleiden","begeleiden","related","word","word",1
"graf","begraafplaats","related","word","word",0.526189951397798
"kist","begrafenis","related","word","word",0.364465641173933
"graven","begraven","related","word","word",0.603127857932083
"realiseren","begrijpen","related","word","word",0.520680248851714
"feliciteren","begroeten","related","word","word",0.451466794847276
"therapie","behandeling","related","word","word",0.669761513295828
"vereist","behoefte","related","word","word",0.3166894414756
"populair","bekend","related","word","word",0.382053905995819
"betekenis","belang","related","word","word",0.391500753481307
"waardevol","belangrijk","related","word","word",0.59509312451218
"belediging","beledigen","related","word","word",0.5702927908633
"bankier","belegger","related","word","word",0.530000024170831
"garantie","belofte","related","word","word",0.369011597349341
"bonus","beloning","related","word","word",0.528430442853774
"moed","bepaling","related","word","word",0.113363691342472
"klaar","bereiden","related","word","word",0.399981702241359
"graaf","berekenen","related","word","word",0.0666829136647818
"heuvel","berg","related","word","word",0.618829287301429
"waarschuwing","bericht","related","word","word",0.493348238265503
"stelen","beroven","related","word","word",0.511615207027939
"diefstal","beroving","related","word","word",0.576665831474399
"cultuur","beschaving","related","word","word",0.57001502917521
"nederig","bescheiden","related","word","word",0.519948216583985
"profiel","beschrijving","related","word","word",0.487678322759892
"klacht","beschuldiging","related","word","word",0.503671330397028
"het lot","bestemming","related","word","word",NA
"passagier","bestuurder","related","word","word",0.54371685070436
"bevestiging","bevestigen","related","word","word",0.628626905622738
"smelten","bevriezen","related","word","word",0.597675882925
"bewijs","bewijs","related","word","word",1
"drankje","bier","related","word","word",0.538851557986701
"liefdadigheid","bijdrage","related","word","word",0.376558056500855
"verzamelen","bijeenkomen","related","word","word",0.379281795296131
"steun","bijstand","related","word","word",0.42738597776361
"buiten","binnen","related","word","word",0.654467920269183
"chemie","biologie","related","word","word",0.6415960723474
"chemisch","biologisch","related","word","word",0.620911844439653
"bruin","blauw","related","word","word",0.606294735708119
"wond","blessure","related","word","word",0.347022294975822
"blijven","blijven","related","word","word",1
"plant","bloem","related","word","word",0.487832434462071
"bijbel","boek","related","word","word",0.536003498494921
"struik","boom","related","word","word",0.620323442452305
"jaloers","boos","related","word","word",0.671943925679633
"onderzeeër","boot","related","word","word",0.615301513408071
"schaal","bord","related","word","word",0.370021314934868
"maag","borst","related","word","word",0.497881046798608
"washington","boston","related","word","word",0.486465303071742
"honing","boter","related","word","word",0.499453905129214
"bouw","bouwen","related","word","word",0.698889694020449
"lager","bovenste","related","word","word",0.395825723181776
"gas-","brandstof","related","word","word",NA
"smal","breed","related","word","word",0.571711338636805
"telegram","brief","related","word","word",0.595280185541683
"gozer","bro","related","word","word",0.385723664171956
"zus","broer","related","word","word",0.730038680867275
"bruidegom","bruid","related","word","word",0.833970212071755
"verloving","bruiloft","related","word","word",0.558402223973146
"ufo","buitenaards wezen","related","word","word",NA
"firma","bureau","related","word","word",0.340092543291548
"sheriff","burgemeester","related","word","word",0.547951546015755
"trein","bus","related","word","word",0.7496048822628
"picknick","camping","related","word","word",0.351364937273182
"mijl","centimeter","related","word","word",0.479822282592926
"brein","cerebral","related","word","word",0.419629948905801
"ritueel","ceremonie","related","word","word",0.580435386771708
"wijn","champagne","related","word","word",0.700075502335579
"omkoping","chantage","related","word","word",0.539215289972732
"aantrekkelijk","charmant","related","word","word",0.607844473050736
"kok","chef","related","word","word",0.5409448756666
"bedienen","chirurgie","related","word","word",0.162192100259733
"suiker","chocolade","related","word","word",0.524753194601012
"katholiek","christen","related","word","word",0.578522537288884
"dierentuin","circus","related","word","word",0.505419615002286
"geduldig","cliënt","related","word","word",0.1358287803015
"rum","cognac","related","word","word",0.501085486507574
"inspecteur","commissaris","related","word","word",0.648457034798882
"commissie","commissie","related","word","word",1
"navigatie","communicatie","related","word","word",0.496514511390457
"racistisch","communistisch","related","word","word",0.56468468912087
"totaal","compleet","related","word","word",0.648564188756017
"software","computer","related","word","word",0.598353010828402
"focus","concentreren","related","word","word",0.574975293221857
"tour","concert","related","word","word",0.440754822382742
"fout","correct","related","word","word",0.326192467724696
"rodeo","cowboy","related","word","word",0.399967453014371
"verbeelding","creativiteit","related","word","word",0.478189972646913
"dief","crimineel","related","word","word",0.582358684198643
"situatie","crisis","related","word","word",0.483138871529107
"naief","cynisch","related","word","word",0.509837900439396
"hier","daar","related","word","word",0.770230990376419
"heer","dame","related","word","word",0.19857319369377
"dankbaar","dank","related","word","word",0.550448386760869
"gastvrijheid","dankbaarheid","related","word","word",0.526986218286788
"danser","dans","related","word","word",0.494057631147528
"wat","dat","related","word","word",0.475873344707512
"november","december","related","word","word",0.703802210373159
"eeuw","decennium","related","word","word",0.570289227228308
"fragment","deel","related","word","word",0.306494616119012
"materie","deeltje","related","word","word",0.627442684112391
"concept","definitie","related","word","word",0.41308287096807
"cabine","dek","related","word","word",0.362787408870774
"vrijheid","democratie","related","word","word",0.538073881526014
"protest","demonstratie","related","word","word",0.434410982607518
"beschouwen","denken","related","word","word",0.350414400384823
