ko_cue,ko_target,type,cue_type,target_type,ko_cosine
여기,저기,related,word,word,0.228671884092077
건설,짓다,related,word,word,
거짓말하다,거짓말 쟁이,related,word,word,
가리키다,내비치다,related,word,word,
상상력,창의력,related,word,word,
하늘의 뜻,운명,related,word,word,
바늘,주사기,related,word,word,0.621008961098037
노벨,상,related,word,word,0.413149031539056
가져오다,보내다,related,word,word,
기념물,동상,related,word,word,
전류,전기,related,word,word,
짐,화물,related,word,word,0.259631072965843
영원한,영원히,related,word,word,0.49398088720267
배고픔,목 마름,related,word,word,
순진한,냉소적이다,related,word,word,
맨 위,맨 아래,related,word,word,
나침반,지도,related,word,word,0.213043734475748
부호,사업가,related,word,word,0.572961041580273
거절,동의,related,word,word,0.49873457910562
문자 그대로,실지로,related,word,word,
정량,주입,related,word,word,
농장주,노동자,related,word,word,
예방하다,멈추다,related,word,word,
항의,시위,related,word,word,0.361970170570801
빵,치즈,related,word,word,0.489740395609465
정보원,배신자,related,word,word,0.33618505751006
비슷한,다른,related,word,word,0.267518046419637
작가,배우,related,word,word,0.443520401582102
강한,약한,related,word,word,0.356301463195221
마시다,맥주,related,word,word,0.464786489203864
비어있는,가득한,related,word,word,0.349756490531558
단위,분할,related,word,word,0.499628218135841
병기고,무기고,related,word,word,
잡담,스캔들,related,word,word,0.305360668867728
달팽이,거북이,related,word,word,0.549775018861488
석탄,기름,related,word,word,0.462033255065012
피선,보호소,related,word,word,
더운,추운,related,word,word,0.519101970900187
일일,주간,related,word,word,0.339964164362878
주인,숙녀,related,word,word,0.319103527521283
죽음,사라짐,related,word,word,0.282704198579546
택시,리무진,related,word,word,0.30868812840892
지진,폭발,related,word,word,0.474853323193619
배지,제복,related,word,word,0.314587449358946
특권,명예,related,word,word,0.345026737019685
잠긴,닫힌,related,word,word,0.636227874888744
샤워,화장실,related,word,word,0.328231185834135
사령관,선장,related,word,word,0.433771722811079
왕실의,왕국,related,word,word,0.455757875154925
개,고양이,related,word,word,0.323942314389819
번개,천둥,related,word,word,0.665437234761631
닌자,사무라이,related,word,word,0.542319110880336
계획,전략,related,word,word,0.425828688460596
은행업,경제적인,related,word,word,
고용하다,임대,related,word,word,
인기있는,유명한,related,word,word,0.346696311930649
거위,오리,related,word,word,0.398177551831804
반어,아이러니 한,related,word,word,
연속,에피소드,related,word,word,0.388162006001249
샌드위치,햄버거,related,word,word,0.536017610205623
바나나,딸기,related,word,word,0.596628263885901
레이더,위성,related,word,word,0.507586906836163
플레이보이,잡지,related,word,word,0.326766667369718
관리하다,성공한 것,related,word,word,
대사관,내각,related,word,word,
콘크리트,강철,related,word,word,0.312216023553569
반경,둘레,related,word,word,
지사,평의원,related,word,word,
언제나,지속적으로,related,word,word,0.135156810742269
바위,돌,related,word,word,0.400592902167069
변호사,검사,related,word,word,0.24776476251585
힘,에너지,related,word,word,0.317109934007169
자격이 있는,가치 있는,related,word,word,
주목,끌어들이다,related,word,word,0.221734766432657
악몽,꿈,related,word,word,0.552342632973066
관할권,권한,related,word,word,
뇌,대뇌의,related,word,word,
예쁜,아름다운,related,word,word,0.354015835862003
열,온도,related,word,word,0.16631467592389
밀림,숲,related,word,word,0.532063255166943
방아쇠,활성화,related,word,word,0.254471830412485
월,주,related,word,word,0.160346630400098
틀린,옳은,related,word,word,0.419769629581891
재정적으로,자금 지원,related,word,word,
자석의,전기성의,related,word,word,
못,이빨,related,word,word,0.173073257754848
뭐라고요,저것,related,word,word,0.217986497914446
구경,총알,related,word,word,0.204413462686496
수업,학교,related,word,word,0.363900768265435
겁주다,놀라다,related,word,word,
피해망상적인,미친,related,word,word,
동물원,서커스,related,word,word,0.36388342326048
비서,조수,related,word,word,0.476528457778903
기다리다,예상하다,related,word,word,
립스틱,향수,related,word,word,0.574322406094483
우편,팩스,related,word,word,0.511847600629463
좀비,흡혈귀,related,word,word,0.312018780376224
연설,설교,related,word,word,0.454425475885049
출생,임신,related,word,word,0.269474755990795
태블릿,알약,related,word,word,0.535138979409387
창문,문,related,word,word,0.415604310971117
유용한,효과적인,related,word,word,0.543442420399917
검,칼,related,word,word,0.309812938220855
삼촌,아빠,related,word,word,0.328299544160099
이혼,결혼,related,word,word,0.382671930279288
비단,면,related,word,word,0.336663028606961
귀중한,중요한,related,word,word,0.281543295376393
자매,형제,related,word,word,0.527329902489154
주 장관,시장,related,word,word,
쉬다,자다,related,word,word,0.414231838147503
척추,복부,related,word,word,0.599453547294692
늦은,일찍,related,word,word,0.284188189529929
소음,소리,related,word,word,0.263304607361333
어둠,빛,related,word,word,0.502110339753932
동료,친구,related,word,word,0.323562312056475
지원하다,보조,related,word,word,
원천,피조사자,related,word,word,
피크닉,캠핑,related,word,word,0.406102082972793
재,먼지,related,word,word,0.286852866626089
경기장,야구,related,word,word,0.320536964756104
따뜻한,시원한,related,word,word,0.451825027280043
하얀색,검은 색,related,word,word,
보수,진보,related,word,word,
괴물,생물,related,word,word,0.292072812639166
딸,아들,related,word,word,0.424060465323871
박살내다,깨뜨리다,related,word,word,
그림자,어두운,related,word,word,0.369148227715428
시나몬,바닐라,related,word,word,0.733063478483257
오늘,어제,related,word,word,0.291626000188608
독서,쓰기,related,word,word,0.393849754383512
군인,전사,related,word,word,0.39649182668188
검색,찾기,related,word,word,0.237766207756631
물론,완전히,related,word,word,0.180952828355632
직무,사명,related,word,word,
편안,즐거운,related,word,word,
예술가,화가,related,word,word,0.27344144534549
자랑스러운,흥분한,related,word,word,0.333820902296537
착륙,비행,related,word,word,0.458559913559924
기차,버스,related,word,word,0.525087210233299
설명하다,표현하다,related,word,word,
잡고있다,가지고 있다,related,word,word,
욕구,소망,related,word,word,0.500760763728868
안녕하세요,안녕히 가십시오,related,word,word,
과소평가하다,과장하다,related,word,word,
참석,결석,related,word,word,0.239096914617495
겸손한,얌전한,related,word,word,0.517515811203173
해적,선원,related,word,word,0.452060317262495
목적,의도,related,word,word,0.466511174405076
용량,능력,related,word,word,0.361348629306059
세미나,강의,related,word,word,0.334144298044191
클럽,술집,related,word,word,0.358374757590492
로봇,기계,related,word,word,0.282430895405159
선택,옵션,related,word,word,0.385056207085018
기록,녹음,related,word,word,0.418053311295033
마일,센티미터,related,word,word,
규칙,조약,related,word,word,0.356127955949485
부시,나무,related,word,word,0.136239465698249
호위,동반하다,related,word,word,
사건,사고,related,word,word,0.277190930299238
소파,침대,related,word,word,0.395027509522801
연금,연봉,related,word,word,0.487665965438567
특출한,놀랄만한,related,word,word,
눈이 먼,청각 장애인,related,word,word,
죽음과 같은,치명적인,related,word,word,
장군,대령,related,word,word,0.3619575572283
피곤한,굶주린,related,word,word,0.287867717789617
환각,상상속의 환각,related,word,word,
침략,공격,related,word,word,0.441388311377616
폭탄,폭발물,related,word,word,0.353743728300237
남쪽,북쪽,related,word,word,0.490035503786493
구조하다,저장,related,word,word,
삼키다,씹다,related,word,word,
징후,증후군,related,word,word,
용서하다,변명,related,word,word,
