"zh_cue","zh_target","type","cue_type","target_type","zh_cosine"
"实际上","真的","related","word","word",0.528910680224596
"钦佩","欣赏","related","word","word",0.893933682137328
"代理人","侦探","related","word","word",0.906382273550178
"艾滋病","艾滋病病毒","related","word","word",NA
"空气","氧","related","word","word",0.685547736897313
"酒精","药品","related","word","word",0.880845542225643
"允许","让","related","word","word",0.505475866427096
"独自的","孤独","related","word","word",NA
"已经","仍然","related","word","word",0.912059282224908
"总是","不断地","related","word","word",0.90285323203492
"大使","部长","related","word","word",0.85790597516162
"救护车","直升机","related","word","word",0.794063561325502
"天使","魔鬼","related","word","word",0.937343217834177
"匿名的","未知","related","word","word",0.818591129669848
"解毒剂","疫苗","related","word","word",0.904884701397186
"申请","采用","related","word","word",0.539421276382143
"到达","来","related","word","word",0.480951785264205
"伪影","奖章","related","word","word",NA
"吸引人的","迷人","related","word","word",NA
"作者","演员","related","word","word",0.71068468524389
"签名","摄影师","related","word","word",0.586432788899226
"尸检","分析","related","word","word",0.341539468940314
"香蕉","草莓","related","word","word",0.805251558070963
"银行家","投资者","related","word","word",0.789409198030872
"银行业","金融的","related","word","word",NA
"湾","港口","related","word","word",0.899736428116332
"兽","动物","related","word","word",0.914152210965436
"蜜蜂","蚂蚁","related","word","word",0.811863044739373
"诞生","怀孕","related","word","word",0.768742395242228
"男孩们","女孩们","related","word","word",0.967825598912262
"布拉沃","阿爾法","related","word","word",0.956360149127074
"公文包","手提箱","related","word","word",0.857808291507353
"棕色的","蓝色","related","word","word",0.866467324221389
"舱","甲板","related","word","word",0.870913820243859
"口径","子弹","related","word","word",0.962286469682818
"称呼","电话","related","word","word",0.84650421937507
"狂欢","节日","related","word","word",0.896475674399755
"天主教","基督教","related","word","word",0.930012269432007
"名人","星星","related","word","word",0.84973077763941
"水泥","塑料","related","word","word",0.75849297965687
"冠军","战斗机","related","word","word",0.774417271256464
"校长","总统","related","word","word",0.833551641162589
"改变","改进","related","word","word",0.779671191993845
"渠道","消息","related","word","word",0.630578616465637
"芯片","设备","related","word","word",0.762040782190258
"圣诞节","假期","related","word","word",0.905891290989832
"干净的","洗","related","word","word",0.922324841250864
"清楚地","明显地","related","word","word",0.929807543455344
"布","手帕","related","word","word",0.765979260758536
"云","多雾路段","related","word","word",NA
"教练","播放器","related","word","word",0.719634812366166
"煤炭","油","related","word","word",0.872195387278713
"棺材","葬礼","related","word","word",0.890475850142485
"战斗","斗争","related","word","word",0.870615968407827
"自在","令人愉快的","related","word","word",0.980147316533803
"命令","命令","related","word","word",1
"商业的","商人","related","word","word",NA
"竞赛","锦标赛","related","word","word",0.888042483102414
"抱怨","指控","related","word","word",0.87941441850866
"忧虑","担心","related","word","word",0.7239431094469
"结论","假设","related","word","word",0.805867217788274
"祝贺","迎接","related","word","word",0.711057050590819
"考虑","思考","related","word","word",0.89511452486548
"建造","建造","related","word","word",1
"包含","内容","related","word","word",0.634394496791532
"控制","操纵","related","word","word",0.89964323976876
"角落","胡同","related","word","word",0.882265697066378
"数数","计算","related","word","word",0.833448473940154
"覆盖","隐藏","related","word","word",0.900151873523028
"裂缝","洞","related","word","word",0.565305103652922
"奶油","酱","related","word","word",0.849891438435846
"创建","生产","related","word","word",0.816994706683278
"创建","毁灭","related","word","word",0.794455513862182
"危急","政治的","related","word","word",NA
"王冠","王座","related","word","word",0.938855723547693
"当前的","电","related","word","word",0.607506830700666
"爸","妈","related","word","word",0.633908286206626
"黑暗","光","related","word","word",0.647107100335445
"死亡","消失","related","word","word",0.80447737911489
"体面的","诚实的","related","word","word",NA
"描述","表示","related","word","word",0.659264600166737
"沙漠","谷","related","word","word",0.822818735390937
"欲望","希望","related","word","word",0.917316916873194
"探索","丑陋的","related","word","word",0.927301453265608
"距离","速度","related","word","word",0.822885303932321
"怀疑","怀疑","related","word","word",1
"下","向上","related","word","word",0.696306732958746
"龙","狮子","related","word","word",0.873550710627508
"戏剧性","浪漫的","related","word","word",0.926614004740548
"降低","啜","related","word","word",0.813597946590757
"地震","爆炸","related","word","word",0.869275833365538
"别处","某处","related","word","word",0.916187933595635
"大使馆","部","related","word","word",0.718659056539472
"结尾","结束","related","word","word",0.610662796785897
"足够的","充足的","related","word","word",NA
"进入","走","related","word","word",0.590783043014688
"信封","包裹","related","word","word",0.89918054298729
"永恒","永远","related","word","word",0.77853009708
"邪恶","残酷","related","word","word",0.935849712859162
"检查","调查","related","word","word",0.825046126893622
"优秀","伟大的","related","word","word",0.965090881734879
"极其","非常","related","word","word",0.556882719603708
"工厂","生产","related","word","word",0.92709176176802
"伪造的","错误的","related","word","word",0.913736710197317
"农民","工人","related","word","word",0.945373156371052
"联邦","状态","related","word","word",0.910175111521376
"保真","奉献","related","word","word",NA
"金融","投资","related","word","word",0.863624612291738
"公司","机构","related","word","word",0.877092077319999
"第一的","最后的","related","word","word",NA
"旗帜","象征","related","word","word",0.932391720298002
"流感","疾病","related","word","word",0.930652665908916
"跟随","追赶","related","word","word",0.920567161290634
"原谅","借口","related","word","word",0.90050761599853
"饶恕","怜悯","related","word","word",0.811315880072854
"形式","标志","related","word","word",0.82121257682458
"获得","赢","related","word","word",0.863830909216997
"天才","科学家","related","word","word",0.746096124462162
"手势","行为","related","word","word",0.541973846197821
"眼镜","帽","related","word","word",0.905175195657759
"上帝","神圣","related","word","word",0.574448692333842
"抓住","抓住","related","word","word",1
"孙子","侄子","related","word","word",0.933109362423836
"感激","谢谢","related","word","word",0.757312650045997
"绿色","橘子","related","word","word",0.843818774002285
"手","手臂","related","word","word",0.713186396742886
"绞刑","执行","related","word","word",0.860465222029461
"健康","教育","related","word","word",0.78724882559779
"健康","普通的","related","word","word",0.88539627664318
"听力","审判","related","word","word",0.740011757696187
"你好","再见","related","word","word",0.480120544453742
"帮助","助攻","related","word","word",0.777141901273694
"这里","那里","related","word","word",0.745920688397725
"遗产","继承","related","word","word",0.779269871306606
"英雄","救主","related","word","word",0.831607933330849
"聘请","租","related","word","word",NA
"抓住","保持","related","word","word",0.721607345808387
"蜜糖","黄油","related","word","word",0.776807819299556
"希望","信仰","related","word","word",0.819438707400411
"恐怖","恐惧","related","word","word",0.896012886993781
