"zh_cue","zh_target","zh_fake_cue","zh_fake_target","en_cue","en_target"
"实际上","真的","不子","工警","actually","really"
"钦佩","欣赏","細攜","角刷","admire","appreciate"
"代理人","侦探","索參","續候","agent","detective"
"艾滋病","艾滋病病毒","撤教","刀過","aids","hiv"
"空气","氧","主水","體意","air","oxygen"
"酒精","药品","輕子","勒石","alcohol","drug"
"允许","让","樸鑑","被滴","allow","let"
"独自的","孤独","舊子","如機","alone","lonely"
"已经","仍然","宏止","殉繫","already","still"
"总是","不断地","叱詳","史擊","always","constantly"
"大使","部长","選苦","孽區","ambassador","minister"
"救护车","直升机","存養","骨攀","ambulance","helicopter"
"天使","魔鬼","同確","務賓","angel","devil"
"匿名的","未知","注躋","題染","anonymous","unknown"
"解毒剂","疫苗","方僕","獸簡","antidote","vaccine"
"申请","采用","投景","貴救","apply","use"
"到达","来","網行","長磁","arrive","come"
"伪影","奖章","奇休","然分","artifact","medallion"
"吸引人的","迷人","用科","鍵進","attractive","charming"
"作者","演员","瘦貴","打曆","author","actor"
"签名","摄影师","藥魅","心着","autograph","photographer"
"尸检","分析","潮道","超獲","autopsy","analysis"
"香蕉","草莓","賭飽","官政","banana","strawberry"
"银行家","投资者","徵毀","越凌","banker","investor"
"银行业","金融的","文蔗","箱通","banking","financial"
"湾","港口","繳枝","刻方","bay","harbor"
"兽","动物","酸臉","手橋","beast","animal"
"蜜蜂","蚂蚁","戰族","孫趕","bee","ant"
"诞生","怀孕","毒點","狗著","birth","pregnancy"
"男孩们","女孩们","認願","日型","boys","girls"
"布拉沃","阿爾法","高國","認語","bravo","alpha"
"公文包","手提箱","修藤","苦微","briefcase","suitcase"
"棕色的","蓝色","著凸","詭積","brown","blue"
"舱","甲板","部領","眼說","cabin","deck"
"口径","子弹","不蝌","步藝","caliber","bullet"
"称呼","电话","莽讓","置魂","call","telephone"
"狂欢","节日","飯掩","穿戲","carnival","festival"
"天主教","基督教","商斃","菜打","catholic","christian"
"名人","星星","稱擊","蜜多","celebrity","star"
"水泥","塑料","演謀","斷量","cement","plastic"
"冠军","战斗机","關態","黑着","champion","fighter"
"校长","总统","了病","剛子","chancellor","president"
"改变","改进","養殯","古臥","change","improvement"
"渠道","消息","色動","花敲","channel","news"
"芯片","设备","處玫","看解","chip","device"
"圣诞节","假期","鏽戰","空立","christmas","holiday"
"干净的","洗","求倒","實場","clean","wash"
"清楚地","明显地","細插","殺殞","clearly","obviously"
"布","手帕","獵笑","出見","cloth","handkerchief"
"云","多雾路段","像商","底射","cloud","fog"
"教练","播放器","表察","腸策","coach","player"
"煤炭","油","發警","怨密","coal","oil"
"棺材","葬礼","變怒","進登","coffin","funeral"
"战斗","斗争","念手","禁塵","combat","fight"
"自在","令人愉快的","花學","親不","comfortable","pleasant"
"命令","命令","向間","字葉","command","order"
"商业的","商人","搶張","上況","commercial","merchant"
"竞赛","锦标赛","巨舉","鼻叔","competition","championship"
"抱怨","指控","心羊","酒閉","complaint","accusation"
"忧虑","担心","巧遞","出搗","concern","worry"
"结论","假设","聲搵","涉將","conclusion","assumption"
"祝贺","迎接","感下","除芳","congratulate","greet"
"考虑","思考","勘卜","先聰","consider","think"
"建造","建造","做堡","咐掉","construction","build"
"包含","内容","利一","賊酸","contain","content"
"控制","操纵","社蟲","行拘","control","manipulate"
"角落","胡同","實守","妒速","corner","alley"
"数数","计算","恨值","徵抗","count","calculate"
"覆盖","隐藏","惡閒","手谷","cover","hide"
"裂缝","洞","礙木","食視","crack","hole"
"奶油","酱","意員","少常","cream","sauce"
"创建","生产","廁暢","風墮","create","produce"
"创建","毁灭","白挨","人譯","creation","destruction"
"危急","政治的","聽局","體觀","critical","political"
"王冠","王座","刑指","肺假","crown","throne"
"当前的","电","持標","齦性","current","electricity"
"爸","妈","狂貨","漏狀","daddy","mum"
"黑暗","光","至行","袒茗","darkness","light"
"死亡","消失","習諱","朱佩","death","disappearance"
"体面的","诚实的","徑調","藍典","decent","honest"
"描述","表示","壓底","答飯","describe","express"
"沙漠","谷","乘瞞","勸盈","desert","valley"
"欲望","希望","消降","雅出","desire","wish"
"探索","丑陋的","德念","救膠","digusting","ugly"
"距离","速度","怕慵","酒擊","distance","speed"
"怀疑","怀疑","機印","預輕","doubt","suspect"
"下","向上","歲評","族底","down","up"
"龙","狮子","逃獎","考冷","dragon","lion"
"戏剧性","浪漫的","譯打","記細","dramatic","romantic"
"降低","啜","受敗","柵讚","drop","sip"
"地震","爆炸","出後","皮住","earthquake","explosion"
"别处","某处","亡利","崩神","elsewhere","somewhere"
"大使馆","部","切機","伸形","embassy","ministry"
"结尾","结束","簽大","間講","end","finish"
"足够的","充足的","敬髓","見情","enough","sufficient"
"进入","走","外過","曲落","enter","go"
"信封","包裹","工配","進拌","envelope","package"
"永恒","永远","鑿無","快舌","eternal","forever"
"邪恶","残酷","存尋","抽要","evil","cruelty"
"检查","调查","妻得","護讀","examine","investigate"
