pt_cue,pt_target,type,cue_type,target_type,pt_cosine
suave,gentil,related,word,word,0.455271159821994
sair,abandono,related,word,word,0.181585262711095
espinal,abdominal,related,word,word,0.608998896386838
sequestrar,raptar,related,word,word,0.547419718763271
beijo,abraço,related,word,word,0.722312712229985
refúgio,abrigo,related,word,word,0.685878963920576
ridículo,absurdo,related,word,word,0.744015186755055
piquenique,acampar,related,word,word,0.457909326848948
recusar,aceitar,related,word,word,0.65476593866983
incidente,acidente,related,word,word,0.598072900645636
abaixo,acima,related,word,word,0.729618291672759
concreto,aço,related,word,word,0.43180898946924
escolta,acompanhar,related,word,word,0.368662980096512
ocorrer,acontecer,related,word,word,0.673988257942483
contrato,acordo,related,word,word,0.60216263796243
confiar,acreditar,related,word,word,0.58619620852986
reclamação,acusação,related,word,word,0.431937815960817
extra,adicional,related,word,word,0.542325102829549
gestão,administração,related,word,word,0.577899876710538
adolescência,adolescente,related,word,word,0.570391103097853
hormona,adrenalina,related,word,word,0.515804598575533
terminal,aeroporto,related,word,word,0.436457777064697
casa-de-banho,pia,related,word,word,
empresa,agência,related,word,word,0.538189385614164
calendário,agendar,related,word,word,0.330719530117604
grato,agradecer,related,word,word,0.630193931360927
já,ainda,related,word,word,0.579463139921902
ajudar,assistir,related,word,word,0.232151624831195
alerta,alarme,related,word,word,0.453476479489858
prazer,alegria,related,word,word,0.393751668597216
bravo,alfa,related,word,word,0.497143168129852
nada,algo,related,word,word,0.567364987896457
seda,algodão,related,word,word,0.510095474275031
motivo,álibi,related,word,word,0.418606588352348
lanche,almoço,related,word,word,0.667229788876053
majestade,alteza,related,word,word,0.702827147060716
baixo,alto,related,word,word,0.517168210731316
peso,altura,related,word,word,0.263421033775927
ilusão,alucinação,related,word,word,0.513609429228422
pôr do sol,alvorecer,related,word,word,
amante,namorado,related,word,word,0.51003487914721
odiar,amar,related,word,word,0.649256362840856
vermelho,amarelo,related,word,word,0.740243249643145
susto,amedrontar,related,word,word,0.158796292606858
áfrica,américa,related,word,word,0.636967003134447
educado,amigáveis,related,word,word,0.303842930012275
colega,amigo,related,word,word,0.624887645224596
relação,amizade,related,word,word,0.437922176968694
estreito,ampla,related,word,word,0.34113120247425
autópsia,análise,related,word,word,0.547168313395816
correr,andar,related,word,word,0.450105771092562
orgulhoso,excitado,related,word,word,0.458663708173772
fera,animal,related,word,word,0.47003353502362
aniversário,dia de nascimento,related,word,word,
agarrar,apanhar,related,word,word,0.437170653399219
casa,apartamento,related,word,word,0.572078763041982
admirar,apreciar,related,word,word,0.566956266674354
permissão,aprovação,related,word,word,0.488409528629726
o quê,aquele,related,word,word,
cabo,arame,related,word,word,0.315689566152301
cabine,convés,related,word,word,0.454485918132594
lama,areia,related,word,word,0.584215083619649
pistola,arma,related,word,word,0.800788028755572
espingarda,arma de fogo,related,word,word,
escudo,armaduras,related,word,word,0.45874042467379
gabinete,armário,related,word,word,0.410823231672976
comprar,armazenar,related,word,word,0.276585919572979
engenheiro,arquiteto,related,word,word,0.52815256197912
ignorância,arrogância,related,word,word,0.564817439480179
arsenal,armaria,related,word,word,0.382976083725384
veia,artéria,related,word,word,0.625725370284981
natural,artificial,related,word,word,0.390543948804794
cavalaria,artilharia,related,word,word,0.518624639668647
arbusto,árvore,related,word,word,0.521377024208025
suicídio,assassinato,related,word,word,0.543533364908521
mercenário,assassino,related,word,word,0.4016405673837
assassino,homicida,related,word,word,0.692776183836709
carimbo,assinatura,related,word,word,0.402658246668289
apoio,assistência,related,word,word,0.535612106909315
secretário,assistente,related,word,word,0.326975177584742
observa,vê,related,word,word,0.535727581719554
buzina,assobiar,related,word,word,0.342850054413669
vítima,atacante,related,word,word,0.482757736345667
invasão,ataque,related,word,word,0.485183401174341
atirador,sniper,related,word,word,0.65804551579429
tiro,atirar,related,word,word,0.351479213850977
opinião,atitude,related,word,word,0.458764506865293
acionar,ativar,related,word,word,0.659268688860261
ativo,atividade,related,word,word,0.382429646869444
pacífico,atlântico,related,word,word,0.647578934229499
ambiente,atmosfera,related,word,word,0.448195719483648
gesto,ato,related,word,word,0.551759956184934
autor,ator,related,word,word,0.391035195409924
atenção,atrai,related,word,word,0.363506152033123
espetáculo,atuação,related,word,word,0.535125304541505
fresco,refrescar,related,word,word,0.372576544885386
presença,ausência,related,word,word,0.481258602606255
jurisdição,autoridade,related,word,word,0.578683549222347
observação,avaliação,related,word,word,0.517836080342384
avô,avó,related,word,word,0.645045453729347
castanho,azul,related,word,word,0.639915592753513
tosta,bacon,related,word,word,0.596831341295681
calibre,bala,related,word,word,0.529427546053853
orquestra,banda,related,word,word,0.575017180212402
chuveiro,banheiro,related,word,word,0.666681185946298
caro,barato,related,word,word,0.602783699427822
cabelo,barba,related,word,word,0.56517746084672
submarino,barco,related,word,word,0.635933270489038
tripulação,navio,related,word,word,0.509278703789182
clube,bar,related,word,word,0.576844310328952
estádio,basebol,related,word,word,0.464425376800941
guerra,batalha,related,word,word,0.663821069916979
regimento,batalhão,related,word,word,0.682934613587973
canela,baunilha,related,word,word,0.655985735777782
sóbrio,bêbado,related,word,word,0.558088845468458
canto,beco,related,word,word,0.296968173071199
charme,beleza,related,word,word,0.473722003959689
milhão,bilhão,related,word,word,0.765075967914933
química,biologia,related,word,word,0.572120970990425
químico,biológico,related,word,word,0.562790320506407
lábio,bochecha,related,word,word,0.596333572891997
sobremesa,bolo,related,word,word,0.582087020493661
óculos,boné,related,word,word,0.511075100469212
doce,fofinho,related,word,word,0.422459553503589
washington,boston,related,word,word,0.551565092320478
mão,braço,related,word,word,0.518363591558543
brilho,claro,related,word,word,0.149742102346276
boneca,brinquedo,related,word,word,0.435355700680702
maldição,bruxa,related,word,word,0.551718367934293
magia,feiticeiro,related,word,word,0.533409272583777
rabo,traseiro,related,word,word,0.861229624682882
corpo,cadáver,related,word,word,0.672005330622854
mesa,cadeira,related,word,word,0.531498836146615
xícara,café,related,word,word,0.574711718688862
jantar,pequeno-almoço,related,word,word,
contar,calcular,related,word,word,0.181978198770852
quieto,calma,related,word,word,0.434097976013219
sofá,cama,related,word,word,0.559569439164239
jipe,caminhão,related,word,word,0.555573931270266
rota,caminho,related,word,word,0.398828024239531
competição,campeonato,related,word,word,0.570630088254321
arena,campo de batalha,related,word,word,
tumor,cancro,related,word,word,0.586505891127587
papel,caneta,related,word,word,0.398438220265219
igreja,capela,related,word,word,0.690698916131144
anarquia,capitalismo,related,word,word,0.398543341585267
comandante,capitão,related,word,word,0.738103488741072
bispo,cardeal,related,word,word,0.488730557114859
frete,carga,related,word,word,0.289447253432612
veículo,carro,related,word,word,0.693161782390748
telegrama,carta,related,word,word,0.543183654153797
bolso,carteira,related,word,word,0.55329424650058
máfia,cartel,related,word,word,0.517374445123193
solteiro,casado,related,word,word,0.508459877168301
divórcio,casamento,related,word,word,0.561745175108365
