"fi_cue","fi_target","fi_fake_target","fi_fake_cue","en_cue","en_target"
"ääni","aksentti","akkuunti","hauni","voice","accent"
"aarre","varallisuus","varallifield","jeere","treasure","wealth"
"aasi","hevonen","hevokuol","leksi","donkey","horse"
"aavikko","laakso","sampso","aakaanko","desert","valley"
"afrikka","amerikka","syylrikka","afmurska","africa","america"
"agentti","etsivä","etsikaan","asioiti","agent","detective"
"aids","hiv","asv","aiei","aids","hiv"
"aikuinen","vanhempi","vankauppi","aikuivuus","adult","parent"
"aina","jatkuvasti","klonkkuvasti","torna","always","constantly"
"äiti","isä","ciä","menti","mother","father"
"aivot","aivojen","aivokuol","aimea","brain","cerebral"
"ajaa","ratsastaa","ratopettaa","seaa","drive","ride"
"ajoneuvo","auto","korto","ihasneuvo","vehicle","car"
"aktiivinen","toiminta","toipautta","aktiiviloway","active","activity"
"ala","liiketoiminta","liiketoikazaksta","caa","industry","business"
"alas","ylöspäin","prespäin","albe","down","up"
"alaston","alasti","keesti","eläiton","nude","naked"
"albumi","laulu","keslu","albulens","album","song"
"alempi","ylempi","veämpi","ilonpi","lower","upper"
"aliarvioida","liioitella","liioichocola","tuplavioida","underestimate","exaggerate"
"alkoholi","lääke","pieke","alkoaseelli","alcohol","drug"
"alkuperäinen","kopio","kolem","alkupecheyennen","original","copy"
"alue","vyöhyke","tielhyke","alon","area","zone"
"alueellinen","paikallinen","pairizzolinen","alurizzolinen","regional","local"
"amatööri","ammattitaitoinen","ammattitaitoibiscuit","amapriori","amateur","professional"
"ambulanssi","helikopteri","helilancasteri","ambuohueksi","ambulance","helicopter"
"ampuja","sniper","zolper","ampuheen","shooter","sniper"
"analyytikko","tutkija","kiinkija","anaidiootikko","analyst","investigator"
"anarkia","kapitalismi","kapiroswellismi","uraskia","anarchy","capitalism"
"anatomia","psykologia","psykolorenzo","kieltomia","anatomy","psychology"
"ankkuri","purjehtia","purshottia","traakuri","anchor","sail"
"annos","injektio","inhoaitio","anlän","dose","injection"
"anonyymi","tuntematon","aloittematon","kompnyymi","anonymous","unknown"
"ansa","syötti","lautti","puosa","trap","bait"
"ansaitseva","arvoinen","arvoitais","anelääkseva","deserve","worthy"
"antaa potkut","liekki","ylelki","antaa pomarco","fire","flame"
"anteeksi","tekosyy","tekobert","anklassi","forgive","excuse"
"anteeksianto","armo","arvai","anomaissianto","forgiveness","mercy"
"apina","gorilla","governla","balna","monkey","gorilla"
"areena","taistelukenttä","taisteluericistä","nartna","arena","battlefield"
"arkku","hautajaiset","aloittajaiset","känku","coffin","funeral"
"arsenaali","armeija","artacoja","arseaseelli","arsenal","armory"
"artikla","sanomalehti","auschwitzissanomalehti","artican","article","newspaper"
"arvo","hinta","karta","arbin","value","price"
"arvokas","tärkeä","meskeä","arvolään","valuable","important"
"asia","hiukkanen","syylkanen","asvo","matter","particle"
"asiantuntija","asiantuntija","christuntija","elekttuntija","expert","specialist"
"aspiriini","morfiini","morvaääni","aspihaqqani","aspirin","morphine"
"astronautti","lentäjä","näyttäjä","astrosewooti","astronaut","pilot"
"atomi-","ydin","rcin","winmi","atomic","nuclear"
"auringonlasku","dawn","daeä","auringonlaskurepliik","sunset","dawn"
"auta","avustaa","koistaa","goita","help","assist"
"autografi","valokuvaaja","valorenzonvaaja","aupacabrafi","autograph","photographer"
"avaaminen","päättäminen","maailtäminen","ylisminen","opening","closure"
"avain","lukko","pirko","weain","key","lock"
"avata","kiinni","vaihni","venta","open","close"
"avenue","katu","mistu","pihnue","avenue","street"
"avioero","avioliitto","kuunliitto","aviosäe","divorce","marriage"
"aviomies","vaimo","päämo","omismies","husband","wife"
"avuton","voimaton","bestmaton","hipton","helpless","powerless"
"banaani","mansikka","mantuotka","bakliini","banana","strawberry"
"bonus","palkinto","palluotto","borot","bonus","reward"
"brändi","tuote","synte","eväidi","brand","product"
"bravo","alfa","alleg","ohivo","bravo","alpha"
"budjetti","rahoitus","rataantus","synkjetti","budget","funding"
"caesar","rooma","misma","digsar","caesar","rome"
"college","yliopisto","edespisto","hauslege","college","university"
"crack","reikä","taskä","crunk","crack","hole"
"dekaani","professori","prothompsori","derickni","dean","professor"
"dna","sormenjälki","sormendozanki","iba","dna","fingerprint"
"draama","komedia","komereen","rankma","drama","comedy"
"dramaattinen","romanttinen","rochristinen","drachristinen","dramatic","romantic"
"dvd","video-","visön","sqd","dvd","video"
"dynastia","valtakunta","valtaaloitta","dypulttia","dynasty","empire"
"edestä","takaosa","auschwitzistakaosa","teeltä","front","rear"
"edetä","jatkaa","jatvät","fistä","proceed","continue"
"edistyminen","kehitys","kehimoit","ikääntyminen","progress","development"
"ehdokas","äänestäjä","ääeräältäjä","ehdolään","candidate","voter"
"ehdottaa","ehdottaa","ehplantaa","ehplantaa","propose","suggest"
"ehdottomasti","täysin","keesin","ehprincetomasti","absolutely","completely"
"ei koskaan","koskaan","herkaan","ei kosäiiä","never","ever"
"ei mitään","jotain","jogurt","ei mliöön","nothing","something"
"elää","hengissä","henmäänsä","äiää","live","survive"
"eläintarha","sirkus","raykus","flirttarha","zoo","circus"
"eläke","palkka","opetka","nokke","pension","salary"
"ele","toimia","gelmia","aze","gesture","act"
"elokuva","teatteri","päänteri","hyökkuva","cinema","theater"
"elossa","kuollut","myönlut","erääsa","alive","dead"
"emäntä","rakastaja","radioontaja","ihantä","mistress","lover"
"englanti","ranskan kieli","aseenkan kieli","osoilanti","english","french"
"enkeli","paholainen","pahorizonnen","poikkeli","angel","devil"
"ennätys","äänite","ääpääste","ennäkään","record","recording"
"ensimmäinen","kestää","dyntää","ensimfalconen","first","last"
"epäillä","epäilty","ikäänty","chrislä","doubt","suspect"
"epämiellyttävä","epämiellyttävä","epämielericistävä","epämielericistävä","uncomfortable","unpleasant"
"epäoikeudenmukaisuus","epäoikeudenmukainen","blackweloikeudenmukainen","epäoikeudenmukairickland","injustice","unfair"
"epätavallinen","outo","pasto","asioistavallinen","unusual","strange"
"erikoinen","ainutlaatuinen","ainutlaacheyennen","käytkoinen","special","unique"
"erinomainen","loistava","hanktava","koosomainen","excellent","great"
"erittäin","erittäin","fbistäin","vaiptäin","extremely","very"
"erota","hylkääminen","hyluseimminen","tuuta","resignation","dismissal"
"escort","seurata","muisrata","pacort","escort","accompany"
"esiintyä","tapahtua","auschwitzistapahtua","esiinlet","occur","happen"
"esine","aihe","aidal","dynne","object","subject"
"esine","medallari","meleontlari","dynne","artifact","medallion"
"estää","lopettaa","lolaistaa","essei","prevent","stop"
"este","haaste","juatte","vyyte","obstacle","challenge"
"etäisyys","nopeus","nomean","enemsyys","distance","speed"
"etana","kilpikonna","kilpiarizona","dawna","snail","turtle"
"etelään","pohjoinen","pohdaphnen","rohlään","south","north"
"eteläinen","läntinen","heittinen","kuolläinen","southern","western"
"etuoikeus","kunnia","tapnia","teoiskeus","privilege","honor"
"evoluutio","mutaatio","mutaaseen","creeluutio","evolution","mutation"
"fiksu","älykäs","epikäs","hahsu","smart","intelligent"
"filosofia","uskonto","usneisto","filosorence","philosophy","religion"
"flunssa","sairaus","sairion","oranssa","flu","disease"
"foorumi","asema","pääma","shagrumi","platform","station"
"fysiikka","matematiikka","idioottematiikka","fyruaika","physics","mathematics"
"galleria","näyttely","vaihtely","edesleria","gallery","exhibition"
"generaattori","reaktori","ylittori","genelexingtori","generator","reactor"
"golf","tennis","tenkön","goep","golf","tennis"
"haava","vamma","kisma","puuva","wound","injury"
"hae","löytö","mettö","aze","search","find"
"hai","kalastaa","kajoittaa","ioi","shark","fish"
"hallinto","hallitus","hallisiin","halreakto","administration","government"
"hallita","onnistua","onkuoltua","muislita","manage","succeed"
"hälytys","hälytys","hälyliin","hälyliin","alert","alarm"
"hämähäkki","hyönteinen","julkteinen","hämäbronski","spider","insect"
"hame","pukeutua","puminttua","murme","skirt","dress"
"hanhi","ankka","vonka","koihi","goose","duck"
"hanke","ohjelmoida","ohjelgreenda","sukke","project","program"
"harjoitella","harjoittele","hargangstele","harjoichocola","practice","exercise"
"harkita","ajatella","poistella","niikkita","consider","think"
"harrastus","urheilu","urkuullu","harnioitus","hobby","sport"
"hauta","hautausmaa","haukuormaa","rusta","grave","cemetery"
"havainto","arviointi","areliitti","haunetto","observation","evaluation"
"häviäjä","voittaja","luontaja","hämaanjä","loser","winner"
"hei","hei hei","heisyet","ini","hello","bye"
"heijastus","peili","isoli","heinioitus","reflection","mirror"
"henkilö","yksilö","yksityim","muiskilö","person","individual"
"henkilökohtainen","intiimi","inkeusmi","brooklykilökohtainen","personal","intimate"
"henkinen","emotionaalinen","oaklantionaalinen","henkirouk","mental","emotional"
"heritage","periä","pelai","heritariqin","heritage","inherit"
"herkkä","herkkä","huuhkä","huuhkä","delicate","sensitive"
"hermo","lihas","likim","kosmo","nerve","muscle"
"herra","nainen","juhnen","kosra","lord","lady"
"hidas","nopeasti","nomuutti","hijoa","slow","fast"
"hiili","vety","veniä","melli","carbon","hydrogen"
"hiiri","rotta","pista","gaari","mouse","rat"
"hiljainen","rauhoittaa","rauspontaa","muutjainen","quiet","calm"
"hiljainen","hiljaisuus","hiljaijien","muutjainen","silent","silence"
"himoita","toive","härve","hijausta","desire","wish"
"hirviö","olento","kiinto","hirtei","monster","creature"
"hitaasti","nopeasti","nomuutti","hiheutti","slowly","quickly"
"hiukset","parta","vitta","tiaiset","hair","beard"
"hoito","hoito","parto","rasto","therapy","treatment"
"hölmö","idiootti","asioisti","sigmö","fool","idiot"
"hormoni","adrenaliini","adrenaliinitowocin","kumpmoni","hormone","adrenaline"
"hotelli","motelli","moihaili","hoihaili","hotel","motel"
"huippu","pohja","lanja","elinpu","top","bottom"
"hukkua","uida","uimis","lyökua","drown","swim"
"hulluus","tyhmyys","hanmyys","hulteis","madness","stupidity"
"hunaja","voita","murta","treenaja","honey","butter"
"huolestunut","hermostunut","maailmostunut","huoavioitunut","worried","nervous"
"huomenna","aamu","aarän","avaimenna","tomorrow","morning"
"huomio","vetää puoleensa","vetää puoleehemmln","huopea","attention","attract"
"huone","makuuhuone","makuuaseenne","lenne","room","bedroom"
"huono","rikas","rinen","tekno","poor","rich"
"hurrikaani","tornado","ajatnado","asiakrikaani","hurricane","tornado"
"huuli","poski","hirki","noili","lip","cheek"
"huulipuna","hajuvesi","hadiscovesi","asiallipuna","lipstick","perfume"
"huutokauppa","myynti","mulkti","huutorioitpa","auction","sale"
"hymy","nauraa","nautim","hyeen","smile","laugh"
"hyödyllinen","tehokas","teholään","maaildyllinen","useful","effective"
"hyödytön","arvoton","arvoneet","kiihdytön","useless","worthless"
"hyvä","huono","tekno","hymyi","good","bad"
"hyväntekeväisyys","lahjoitus","käytjoitus","hyväntekeväikenzien","charity","donation"
"idea","teoria","mumria","acea","idea","theory"
"ihailla","arvostaa","arruuttaa","nioilla","admire","appreciate"
"ihana","fantastinen","fanpointtinen","josna","wonderful","fantastic"
"ihanteellinen","täydellinen","maaildellinen","eversteellinen","ideal","perfect"
"iho","kudos","kujyn","nzo","skin","tissue"
"ikkuna","ovi","kli","aluskuna","window","door"
"ikuinen","ruma","kolma","siainen","digusting","ugly"
"ikuinen","ikuisesti","tyypsesti","siainen","eternal","forever"
"ilkeä","likainen","lisyytnen","iltan","nasty","filthy"
"illallinen","aamiainen","aathornen","ilmiöislinen","dinner","breakfast"
"illuusio","hallusinaatio","hallusinaarencen","illuukeat","illusion","hallucination"
"ilmaa","happi","anepi","illem","air","oxygen"
"ilmiö","tapahtuma","auschwitzistapahtuma","ilpöä","phenomenon","event"
"ilo","ilo","eco","eco","pleasure","joy"
"imeä","nuolla","kiosla","imön","suck","lick"
"innostaa","inspiraatio","epäilpiraatio","insuuntaa","inspire","inspiration"
"innostus","intohimo","inepäinhimo","innoslaan","enthusiasm","passion"
"insinööri","arkkitehti","arkkiabortti","insimeklari","engineer","architect"
"internet","verkko","reitko","inmyönnet","internet","web"
"ironia","ironinen","otukninen","ryynia","irony","ironic"
"isä","äiti","menti","ziä","daddy","mum"
"iso","valtava","joittava","rco","big","huge"
"iso alkukirjain","kaupunki","kaumarkki","dwighlkukirjain","capital","city"
"isoisä","isoäiti","sääsäiti","siessä","grandfather","grandmother"
"itse asiassa","todella","tomaatla","itse asiapioit","actually","really"
"itsemurha","murhata","tinghata","itsegrantha","suicide","murder"
"itsepäinen","itsekäs","itserian","itsesuzannen","stubborn","selfish"
"jakso","kohta","perta","burso","section","paragraph"
"jälkiruoka","kakku","luuku","jälkimaailka","dessert","cake"
"jalo","urhea","urvyt","javää","noble","brave"
"jalustaa","istua","iskem","jaspontaa","stand","sit"
"jännittävä","mielenkiintoista","mielenkiinsuklaata","asiaknittävä","exciting","interesting"
"järjestää","järjestää","järkääntää","järpäättää","arrange","organize"
"jäsen","johtaja","laistaja","jänik","member","leader"
"jätkä","bro","zzo","nenkä","dude","bro"
"jättää","luopua","tiapua","tistää","leave","abandon"
"jätteet","viettää","säyttää","vasteet","waste","spend"
