"hr_target","hr_cue","type","target_type","cue_type","hr_cosine"
"amerika","afrika","related","word","word",0.557452820626905
"detektiv","agent","related","word","word",0.450201592837886
"aktivnost","aktivan","related","word","word",0.443426073077396
"kofer","aktovka","related","word","word",0.447690941321785
"instrument","alat","related","word","word",0.480442919951611
"pjesma","album","related","word","word",0.491392488945207
"droga","alkohol","related","word","word",0.587516980149223
"profesionalni","amater","related","word","word",0.42656754625135
"ministar","ambasador","related","word","word",0.551384992148568
"helikopter","ambulanta","related","word","word",0.237345248185404
"istraživač","analitičar","related","word","word",0.481672168445528
"kapitalizam","anarhija","related","word","word",0.411038175954937
"psihologija","anatomija","related","word","word",0.571017396729419
"vrag","anđeo","related","word","word",0.451434292978494
"vjenčanje","angažman","related","word","word",0.314107666727911
"nepoznat","anonimno","related","word","word",0.321052541930252
"potpuno","apsolutno","related","word","word",0.554503019155503
"bojno polje","arena","related","word","word",NA
"oružanica","arsenal","related","word","word",NA
"medaljon","artefakt","related","word","word",0.371237905901647
"morfin","aspirin","related","word","word",0.488713024905385
"pilot","astronaut","related","word","word",0.528461126629797
"nuklearni","atomski","related","word","word",0.640887675209728
"šarmantan","atraktivan","related","word","word",0.602011306753233
"prodaja","aukcija","related","word","word",0.553409684426575
"fotograf","autogram","related","word","word",0.415881210341627
"glumac","autor","related","word","word",0.371436311557702
"ulica","avenija","related","word","word",0.6287291278687
"jagoda","banana","related","word","word",0.537229940726607
"skupina","banda","related","word","word",0.54153847693402
"investitor","bankar","related","word","word",0.514674434090966
"financijski","bankarstvo","related","word","word",0.47807866140429
"grofica","baron","related","word","word",0.359132103005278
"dinamit","barut","related","word","word",0.459290630046451
"naslijediti","baština","related","word","word",0.366124884470111
"zapovjedništvo","baza","related","word","word",0.290522233162443
"ujednačen","bedž","related","word","word",0.20311134171697
"bezvrijedan","beskoristan","related","word","word",0.646730256541928
"slab","bespomoćan","related","word","word",0.42525645456622
"željezo","beton","related","word","word",0.434281723633251
"knjiga","biblija","related","word","word",0.561283723345166
"patetičan","bijedan","related","word","word",0.569519269055089
"crno","bijela","related","word","word",0.549989234305204
"bijes","bijes","related","word","word",1
"cvijet","biljka","related","word","word",0.411456308169702
"kardinal","biskup","related","word","word",0.534862238319875
"bogatstvo","blago","related","word","word",0.519509821073798
"pijesak","blato","related","word","word",0.542989099203994
"daleko","blizu","related","word","word",0.492322381098324
"božanstven","bog","related","word","word",0.334988784469371
"crtati","boja","related","word","word",0.224230691607238
"bolestan","bolestan","related","word","word",1
"klinika","bolnica","related","word","word",0.687453231725185
"eksplozivno","bomba","related","word","word",0.537164841946691
"nagrada","bonus","related","word","word",0.441835909404196
"ostati","boravak","related","word","word",0.354131267430895
"borba","borba","related","word","word",1
"odmor","božić","related","word","word",0.368506712684345
"proizvod","brand","related","word","word",0.390036990828308
"alfa","bravo","related","word","word",0.412655797574031
"planinski","brdo","related","word","word",0.37936656775384
"adresa","broj","related","word","word",0.397218105959258
"okrutan","brutalan","related","word","word",0.656481280016784
"jetra","bubreg","related","word","word",0.512781379121079
"idiot","budala","related","word","word",0.65802895242048
"prošlost","budućnost","related","word","word",0.647673353332198
"zvuk","buka","related","word","word",0.454475820830852
