"ja_cue","ja_target","type","cue_type","target_type","ja_cosine"
"9月","10月","related","word","word",0.888772379763675
"11月","12月","related","word","word",0.886515169136203
"六月","7月","related","word","word",0.564362847706674
"偽","false","related","word","word",0.523919581581262
"エイズ","hiv","related","word","word",0.472190436882834
"ボイス","アクセント","related","word","word",0.903219409021132
"アクティブ","アクティビティ","related","word","word",NA
"スクラッチ","あざ","related","word","word",0.691613499177499
"秘書","アシスタント","related","word","word",0.794548353444124
"被害者","アタッカー","related","word","word",0.768172562662206
"低い","アッパー","related","word","word",0.840756522877305
"助言","アドバイス","related","word","word",0.852766400760287
"ホルモン","アドレナリン","related","word","word",0.924614730025028
"家","アパート","related","word","word",0.549192387619799
"ガチョウ","アヒル","related","word","word",0.969371412676069
"アフリカ","アメリカ","related","word","word",0.824735790457082
"動かす","アリバイ","related","word","word",0.908859615362578
"ブラボー","アルファ","related","word","word",0.918963988937264
"暖かい","いいね","related","word","word",0.910425700656611
"バナナ","いちご","related","word","word",0.876302362179781
"普通","いつもの","related","word","word",0.96920249104102
"通常は","いつもの","related","word","word",0.906265878362811
"相対的","いとこ","related","word","word",0.874063288977343
"現象","イベント","related","word","word",0.748158938582557
"インスパイヤ","インスピレーション","related","word","word",NA
"啓示","ヴィジョン","related","word","word",0.677952604145602
"ウェイター","ウェイトレス","related","word","word",0.966147241915583
"インターネット","ウェブ","related","word","word",0.890663001989828
"ウィスキー","ウォッカ","related","word","word",0.948883548767195
"狐","ウサギ","related","word","word",0.889355516929746
"横たわる","うそつき","related","word","word",NA
"ストレス","うつ","related","word","word",0.788211689610733
"ロバ","うま","related","word","word",0.750340861903223
"わかった","うん","related","word","word",0.988831955701318
"固い","エージェンシー","related","word","word",NA
"ufo","エイリアン","related","word","word",0.824166935699302
"ギャラリー","エキシビション","related","word","word",0.68441351532432
"練習","エクササイズ","related","word","word",NA
"パワー","エネルギー","related","word","word",0.824348141039103
"シリーズ","エピソード","related","word","word",0.642496477228728
"ペスト","エピデミック","related","word","word",NA
"ファッショナブルー","エレガント","related","word","word",NA
"要素","エレメント","related","word","word",0.662204466257995
"タンク","エンジン","related","word","word",0.876959798552404
"財産","オーナー","related","word","word",0.819787416776412
"汚れた","おぞましい","related","word","word",NA
"確率","おそらく","related","word","word",0.92683964218923
"デスク","オフィス","related","word","word",0.950692621705961
"選択","オプション","related","word","word",0.655603111667385
"人形","おもちゃ","related","word","word",0.949905328621019
"緑","オレンジ","related","word","word",0.718716164894068
"墓","お墓","related","word","word",NA
"お尻","お尻","related","word","word",1
"店","お店","related","word","word",0.87961518355327
"お父ちゃん","お母さん","related","word","word",NA
"おじさん","お父さん","related","word","word",0.98305748571956
"豚肉","お肉","related","word","word",0.932874120905164
"疲れた","お腹がすいた","related","word","word",0.73695628529434
"現金","お金","related","word","word",0.964911045560744
