pairID,word1,word2,POS,similarity,association,n_sim,n_asso,JWSAN_1400
p0001,うら悲しい,物憂い,3,2.85,3.49,150,150,0
p0002,おっかない,酷い,3,1.56,2.78,170,140,0
p0003,か細い,弱い,3,3.36,4.22,140,130,1
p0004,きつい,ごつい,3,1.58,2.56,170,140,0
p0005,きつい,煙たい,3,1.35,2.64,170,130,0
p0006,きつい,甚だしい,3,1.92,2.91,150,140,1
p0007,きつい,悲しい,3,1.51,3.28,170,130,1
p0008,けたたましい,淡い,3,0.79,1.36,180,130,0
p0009,けばけばしい,どぎつい,3,3.64,4.35,140,130,1
p0010,こっ酷い,強い,3,1.14,2.12,170,160,0
p0011,さもしい,醜い,3,2.33,2.88,140,130,1
p0012,しんどい,不味い,3,1.39,2.58,170,130,0
p0013,そそっかしい,空しい,3,0.74,1.65,160,150,0
p0014,ださい,深い,3,0.58,1.36,170,130,0
p0015,ちょろい,平たい,3,0.89,1.63,170,150,0
p0016,でかい,どでかい,3,4.57,4.86,180,160,0
p0017,でかい,高い,3,2.13,3.24,160,150,0
p0018,でかい,茶色い,3,0.51,0.86,180,140,0
p0019,とろい,鈍い,3,4.31,4.63,170,130,1
p0020,とろい,難しい,3,0.87,2.08,180,160,0
p0021,ひもじい,固い,3,0.69,1.33,160,150,0
p0022,ひ弱い,等しい,3,0.63,1.43,160,120,0
p0023,めんこい,可愛い,3,5.25,5.14,160,170,0
p0024,やばい,危ない,3,4.11,4.79,180,140,1
p0025,愛くるしい,芳しい,3,1.44,2.75,190,140,0
p0026,暗い,湿っぽい,3,2.38,3.7,170,160,1
p0027,暗い,重苦しい,3,2.69,4.12,180,140,1
p0028,暗い,薄黒い,3,2.99,3.77,170,150,0
p0029,暗い,物悲しい,3,2.18,3.38,160,150,1
p0030,暗い,物憂い,3,2.17,3.24,180,160,0
p0031,偉い,心安い,3,0.85,2.23,170,140,0
p0032,遠い,黄色い,3,0.57,0.93,160,150,1
p0033,遠い,気怠い,3,1.02,2.24,180,160,0
p0034,汚い,醜い,3,3.36,4.12,160,150,1
p0035,奥床しい,慎ましい,3,3.53,3.91,180,140,0
p0036,奥床しい,慎み深い,3,3.69,3.86,180,150,0
p0037,奥深い,厳めしい,3,1.43,2.34,150,150,0
p0038,黄色い,呪わしい,3,0.46,1.24,180,150,0
p0039,黄色い,粗い,3,0.71,1.24,150,140,0
