"ja_target","ja_cue","ja_fake_cue","ja_fake_target","en_cue","en_target"
"10月","9月","宝積","松丸月","september","october"
"12月","11月","北中月","正道月","november","december"
"7月","六月","丁デ","危害","june","july"
"false","偽","ха","faree","fake","FALSE"
"hiv","エイズ","はまズ","avv","aids","hiv"
"アクセント","ボイス","改称ス","ールセント","voice","accent"
"アクティビティ","アクティブ","レッティブ","逃げティビティ","active","activity"
"あざ","スクラッチ","バッラッチ","冷た","scratch","bruise"
"アシスタント","秘書","しに","を考スタント","secretary","assistant"
"アタッカー","被害者","平安者","ララッカー","victim","attacker"
"アッパー","低い","者を","おうパー","lower","upper"
"アドバイス","助言","永続","俺はバイス","advice","advise"
"アドレナリン","ホルモン","丸山モン","感謝レナリン","hormone","adrenaline"
"アパート","家","けに","講談ート","house","apartment"
"アヒル","ガチョウ","額田ョウ","と続ル","goose","duck"
"アメリカ","アフリカ","サクリカ","アメュア","africa","america"
"アリバイ","動かす","プエす","アリくは","motive","alibi"
"アルファ","ブラボー","ブラ提供","アル哲也","bravo","alpha"
"いいね","暖かい","仙波い","ったね","warm","cool"
"いちご","バナナ","を貼ナ","バカご","banana","strawberry"
"いつもの","普通","ッピ","いつ法人","ordinary","usual"
"いつもの","通常は","を満は","いつ法人","normally","usually"
"いとこ","相対的","有料的","てろこ","relative","cousin"
"イベント","現象","ｋｉ","単数ント","phenomenon","event"
"インスピレーション","インスパイヤ","インスパ曲率","エアスピレーション","inspire","inspiration"
"ヴィジョン","啓示","合う","アリジョン","revelation","vision"
"ウェイトレス","ウェイター","tmイター","はじイトレス","waiter","waitress"
"ウェブ","インターネット","puターネット","jiブ","internet","web"
"ウォッカ","ウィスキー","ウィテリー","ウォ楽部","whiskey","vodka"
"ウサギ","狐","ホフ","義政ギ","fox","rabbit"
"うそつき","横たわる","疯蛇わる","次元つき","lie","liar"
"うつ","ストレス","スト施設","を貼","stress","depression"
"うま","ロバ","公社","ムk","donkey","horse"
"うん","わかった","削除った","マク","okay","yeah"
"エージェンシー","固い","整等","いかジェンシー","firm","agency"
"エイリアン","ufo","あわo","落ちリアン","ufo","alien"
"エキシビション","ギャラリー","理由ラリー","住吉シビション","gallery","exhibition"
"エクササイズ","練習","宙局","愛しササイズ","practice","exercise"
"エネルギー","パワー","安全ー","少女ルギー","power","energy"
"エピソード","シリーズ","新着ーズ","立ちソード","series","episode"
"エピデミック","ペスト","理論ト","私立デミック","plague","epidemic"
"エレガント","ファッショナブルー","ファッショナルギー","シェガント","fashionable","elegant"
"エレメント","要素","ほげ","nhメント","factor","element"
"エンジン","タンク","テスク","エン画像","tank","engine"
"オーナー","財産","子守","オーtz","property","owner"
"おぞましい","汚れた","に割た","耕治ましい","dirty","disgusting"
"おそらく","確率","壊神","びっらく","probability","likely"
"オフィス","デスク","ほおク","オフなに","desk","office"
"オプション","選択","ト教","お話ション","choice","option"
"おもちゃ","人形","始末","おも機構","doll","toy"
"オレンジ","緑","ダヴ","はちンジ","green","orange"
"お墓","墓","零治","の称","grave","cemetery"
"お尻","お尻","横東","七巫","ass","butt"
"お店","店","えね","تي","shop","store"
"お母さん","お父ちゃん","アキちゃん","近鉄さん","daddy","mum"
"お父さん","おじさん","君ださん","気持さん","uncle","dad"
"お肉","豚肉","きま","メシ","pork","meat"
"お腹がすいた","疲れた","候補た","閣僚がすいた","tired","hungry"
"お金","現金","阿久","食は","cash","money"
"お食事","食物","落と","ロ短事","food","meal"
"カーペット","床","中ノ","カーレート","floor","carpet"
"カウボーイ","ロデオ","谷村オ","アガボーイ","rodeo","cowboy"
"カメ","カタツムリ","愛のツムリ","調節","snail","turtle"
"カルテル","マフィア","ぎんィア","に改テル","mafia","cartel"
"ガレージ","ワークショップ","ゆうクショップ","命題ージ","workshop","garage"
"かわいい","甘い","佑樹","マーいい","sweet","cute"
"ギター","ピアノ","全てノ","効能ー","piano","guitar"
"キャッチ","掴む","に在","キャジー","grab","catch"
"キャップ","眼鏡","の鬣","キャou","glasses","cap"
