"word_combo","ru_cue","ru_target","type","cue_type","target_type","ru_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"aeммиллистье","aeм","миллистье","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"aeмсистема","aeм","система","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"eмуснехваткуратура","eмус","нехваткуратура","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"eмусрассвет","eмус","рассвет","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"playstyсенатор","playsty","сенатор","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"playstyсоветоплесс","playsty","советоплесс","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"prатьасабрин","prать","асабрин","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"prатьзакрытый","prать","закрытый","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"абсолютнограбить","абсолютно","грабить","unrelated","word","word",0.0967112796310673,NA,NA,NA,NA,NA
"абсолютноподпиментывать","абсолютно","подпиментывать","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"абсолютнополностью","абсолютно","полностью","related","word","word",0.540515908087956,NA,NA,NA,NA,NA
"абсоральноварный","абсорально","варный","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"абсоральнопереносить","абсорально","переносить","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"авкамзаний","авкам","заний","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"авкамзащищать","авкам","защищать","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"автовифзапись","автовиф","запись","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"автовифнесчастный кручай","автовиф","несчастный кручай","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"автографнесчастный кручай","автограф","несчастный кручай","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"автографсубъект","автограф","субъект","unrelated","word","word",0.0971092940509291,NA,NA,NA,NA,NA
"автограффотограф","автограф","фотограф","related","word","word",0.563562623983566,NA,NA,NA,NA,NA
"авторактер","автор","актер","related","word","word",0.46616086468155,NA,NA,NA,NA,NA
"автордоллар","автор","доллар","unrelated","word","word",0.0593195310002553,NA,NA,NA,NA,NA
"авторпреди","автор","преди","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"агентдетектив","агент","детектив","related","word","word",0.428630042561036,NA,NA,NA,NA,NA
"агентзападный","агент","западный","unrelated","word","word",0.127327431220093,NA,NA,NA,NA,NA
"агентокупа","агент","окупа","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"агострыба","агост","рыба","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"агосттарга","агост","тарга","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"адвокатворник","адвокат","ворник","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"адвокатмассаж","адвокат","массаж","unrelated","word","word",0.131452262276658,NA,NA,NA,NA,NA
"адвокатпрокурор","адвокат","прокурор","related","word","word",0.544722324942393,NA,NA,NA,NA,NA
"админибратияладрка","админибратия","ладрка","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"админибратиясудьба","админибратия","судьба","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"администрациягитара","администрация","гитара","unrelated","word","word",0.143578975055349,NA,NA,NA,NA,NA
"администрациянапирование","администрация","напирование","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"администрацияправительство","администрация","правительство","related","word","word",0.448834059525232,NA,NA,NA,NA,NA
"азартная играваснуль","азартная игра","васнуль","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"азартная иградекабрь","азартная игра","декабрь","unrelated","word","word",NA,NA,NA,NA,NA,NA
"азартная играпокер","азартная игра","покер","related","word","word",NA,NA,NA,NA,NA,NA
"айтвокатгалактика","айтвокат","галактика","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"айтвокатмостель","айтвокат","мостель","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"акнальныйглень","акнальный","глень","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"акнальныйнесчастье","акнальный","несчастье","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"акноинтуиция","акно","интуиция","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"акноэсдь","акно","эсдь","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"активныйактивность","активный","активность","related","word","word",0.436947177288907,NA,NA,NA,NA,NA
"активныйподписываться","активный","подписываться","unrelated","word","word",0.00915526836876617,NA,NA,NA,NA,NA
"активныйпсихоческий","активный","психоческий","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"акудямикрофон","акудя","микрофон","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"акудяукать","акудя","укать","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"акулапароль","акула","пароль","unrelated","word","word",0.134008887880816,NA,NA,NA,NA,NA
"акуларыба","акула","рыба","related","word","word",0.559143121553517,NA,NA,NA,NA,NA
"акулаэфчень","акула","эфчень","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"алкогользвонце","алкоголь","звонце","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"алкогольнаркотик","алкоголь","наркотик","related","word","word",0.576174642184425,NA,NA,NA,NA,NA
"алкогольсчастливый","алкоголь","счастливый","unrelated","word","word",0.0858054840233444,NA,NA,NA,NA,NA
"алконенткомца","алконент","комца","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"алконентснаряд","алконент","снаряд","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"альбомвичный","альбом","вичный","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"альбомметр","альбом","метр","unrelated","word","word",0.0898334340579217,NA,NA,NA,NA,NA
"альбомпесня","альбом","песня","related","word","word",0.425614865387203,NA,NA,NA,NA,NA
"аналитикисследователь","аналитик","исследователь","related","word","word",0.490290129143553,NA,NA,NA,NA,NA
